id,venta_id
EN0000157,VE0036087
EN0000158,VE0009931
EN0000159,VE0010651
EN0000160,VE0037698
EN0000161,VE0051854
EN0000162,VE0048497
EN0000163,VE0080796
EN0000164,VE0067680
EN0000165,VE0057500
EN0000166,VE0099715
EN0000167,VE0000550
EN0000168,VE0010937
EN0000169,VE0090834
EN0000170,VE0095569
EN0000171,VE0015016
EN0000172,VE0067389
EN0000173,VE0025566
EN0000174,VE0040399
EN0000175,VE0037442
EN0000176,VE0038709
EN0000177,VE0067151
EN0000178,VE0042917
EN0000179,VE0025074
EN0000180,VE0065922
EN0000181,VE0074235
EN0000182,VE0035800
EN0000183,VE0033320
EN0000184,VE0077334
EN0000185,VE0077450
EN0000186,VE0039582
EN0000187,VE0083946
EN0000188,VE0014569
EN0000189,VE0085658
EN0000190,VE0054810
EN0000191,VE0080888
EN0000192,VE0088930
EN0000193,VE0093216
EN0000194,VE0084010
EN0000195,VE0019106
EN0000196,VE0090164
EN0000197,VE0089539
EN0000198,VE0010438
EN0000199,VE0038640
EN0000200,VE0019619
EN0000201,VE0045752
EN0000202,VE0014953
EN0000203,VE0045220
EN0000204,VE0077881
EN0000205,VE0026014
EN0000206,VE0017009
EN0000207,VE0029731
EN0000208,VE0091838
EN0000209,VE0046848
EN0000210,VE0000691
EN0000211,VE0031500
EN0000212,VE0026110
EN0000213,VE0045943
EN0000214,VE0046222
EN0000215,VE0019958
EN0000216,VE0046017
EN0000217,VE0066643
EN0000218,VE0052010
EN0000219,VE0048164
EN0000220,VE0026876
EN0000221,VE0097614
EN0000222,VE0069497
EN0000223,VE0002284
EN0000224,VE0084594
EN0000225,VE0022470
EN0000226,VE0063240
EN0000227,VE0052603
EN0000228,VE0088259
EN0000229,VE0087576
EN0000230,VE0021696
EN0000231,VE0004421
EN0000232,VE0069920
EN0000233,VE0007163
EN0000234,VE0048881
EN0000235,VE0058963
EN0000236,VE0010776
EN0000237,VE0038268
EN0000238,VE0091949
EN0000239,VE0065561
EN0000240,VE0000171
EN0000241,VE0013663
EN0000242,VE0034778
EN0000243,VE0046398
EN0000244,VE0063938
EN0000245,VE0068342
EN0000246,VE0057770
EN0000247,VE0004381
EN0000248,VE0045638
EN0000249,VE0076251
EN0000250,VE0064987
EN0000251,VE0032858
EN0000252,VE0061337
EN0000253,VE0069450
EN0000254,VE0027838
EN0000255,VE0071375
EN0000256,VE0049185
EN0000257,VE0088762
EN0000258,VE0093456
EN0000259,VE0033327
EN0000260,VE0052839
EN0000261,VE0053097
EN0000262,VE0044651
EN0000263,VE0094244
EN0000264,VE0096935
EN0000265,VE0049193
EN0000266,VE0064921
EN0000267,VE0086713
EN0000268,VE0094527
EN0000269,VE0081221
EN0000270,VE0069963
EN0000271,VE0013033
EN0000272,VE0031251
EN0000273,VE0029718
EN0000274,VE0097533
EN0000275,VE0042267
EN0000276,VE0099651
EN0000277,VE0073756
EN0000278,VE0034646
EN0000279,VE0079730
EN0000280,VE0076374
EN0000281,VE0080138
EN0000282,VE0003907
EN0000283,VE0073517
EN0000284,VE0004194
EN0000285,VE0089861
EN0000286,VE0099461
EN0000287,VE0015327
EN0000288,VE0097630
EN0000289,VE0070351
EN0000290,VE0003554
EN0000291,VE0025981
EN0000292,VE0015599
EN0000293,VE0033407
EN0000294,VE0026485
EN0000295,VE0094893
EN0000296,VE0020182
EN0000297,VE0062397
EN0000298,VE0089974
EN0000299,VE0097965
EN0000300,VE0037887
EN0000301,VE0083135
EN0000302,VE0027529
EN0000303,VE0020911
EN0000304,VE0086274
EN0000305,VE0039289
EN0000306,VE0052285
EN0000307,VE0007844
EN0000308,VE0042561
EN0000309,VE0020843
EN0000310,VE0084087
EN0000311,VE0070040
EN0000312,VE0056100
EN0000313,VE0002674
EN0000314,VE0020137
EN0000315,VE0023607
EN0000316,VE0016257
EN0000317,VE0011040
EN0000318,VE0035445
EN0000319,VE0069491
EN0000320,VE0075727
EN0000321,VE0074075
EN0000322,VE0073896
EN0000323,VE0081036
EN0000324,VE0095872
EN0000325,VE0055711
EN0000326,VE0026564
EN0000327,VE0050968
EN0000328,VE0091237
EN0000329,VE0035363
EN0000330,VE0057556
EN0000331,VE0000012
EN0000332,VE0096207
EN0000333,VE0024345
EN0000334,VE0045150
EN0000335,VE0030682
EN0000336,VE0032837
EN0000337,VE0072493
EN0000338,VE0034214
EN0000339,VE0094625
EN0000340,VE0064409
EN0000341,VE0001675
EN0000342,VE0071978
EN0000343,VE0010779
EN0000344,VE0057083
EN0000345,VE0076561
EN0000346,VE0064874
EN0000347,VE0002759
EN0000348,VE0001289
EN0000349,VE0029390
EN0000350,VE0073528
EN0000351,VE0027869
EN0000352,VE0076841
EN0000353,VE0037891
EN0000354,VE0083718
EN0000355,VE0077040
EN0000356,VE0029260
EN0000357,VE0031904
EN0000358,VE0071635
EN0000359,VE0045806
EN0000360,VE0046054
EN0000361,VE0094823
EN0000362,VE0058552
EN0000363,VE0028495
EN0000364,VE0020927
EN0000365,VE0067843
EN0000366,VE0075319
EN0000367,VE0096826
EN0000368,VE0061707
EN0000369,VE0053249
EN0000370,VE0086063
EN0000371,VE0029726
EN0000372,VE0027839
EN0000373,VE0026674
EN0000374,VE0026003
EN0000375,VE0056769
EN0000376,VE0010359
EN0000377,VE0060935
EN0000378,VE0026197
EN0000379,VE0074347
EN0000380,VE0035219
EN0000381,VE0093322
EN0000382,VE0072703
EN0000383,VE0021750
EN0000384,VE0057937
EN0000385,VE0019119
EN0000386,VE0001750
EN0000387,VE0008663
EN0000388,VE0097936
EN0000389,VE0092657
EN0000390,VE0015586
EN0000391,VE0016362
EN0000392,VE0098849
EN0000393,VE0033102
EN0000394,VE0082244
EN0000395,VE0003033
EN0000396,VE0038003
EN0000397,VE0099128
EN0000398,VE0009934
EN0000399,VE0097129
EN0000400,VE0046631
EN0000401,VE0097123
EN0000402,VE0076914
EN0000403,VE0057843
EN0000404,VE0089729
EN0000405,VE0050324
EN0000406,VE0085278
EN0000407,VE0048020
EN0000408,VE0073215
EN0000409,VE0073401
EN0000410,VE0047821
EN0000411,VE0078678
EN0000412,VE0042838
EN0000413,VE0082595
EN0000414,VE0046354
EN0000415,VE0013337
EN0000416,VE0075116
EN0000417,VE0025332
EN0000418,VE0005077
EN0000419,VE0096236
EN0000420,VE0096320
EN0000421,VE0031937
EN0000422,VE0088016
EN0000423,VE0048513
EN0000424,VE0012443
EN0000425,VE0088230
EN0000426,VE0025882
EN0000427,VE0092612
EN0000428,VE0022758
EN0000429,VE0051840
EN0000430,VE0074154
EN0000431,VE0092067
EN0000432,VE0030850
EN0000433,VE0034661
EN0000434,VE0034050
EN0000435,VE0066522
EN0000436,VE0060416
EN0000437,VE0085038
EN0000438,VE0061221
EN0000439,VE0068871
EN0000440,VE0015521
EN0000441,VE0095725
EN0000442,VE0001340
EN0000443,VE0098592
EN0000444,VE0032086
EN0000445,VE0097430
EN0000446,VE0035100
EN0000447,VE0059873
EN0000448,VE0073885
EN0000449,VE0080302
EN0000450,VE0038346
EN0000451,VE0010483
EN0000452,VE0090649
EN0000453,VE0086471
EN0000454,VE0056771
EN0000455,VE0077332
EN0000456,VE0082360
EN0000457,VE0057009
EN0000458,VE0009640
EN0000459,VE0078181
EN0000460,VE0098908
EN0000461,VE0077055
EN0000462,VE0022026
EN0000463,VE0050271
EN0000464,VE0063239
EN0000465,VE0035325
EN0000466,VE0088320
EN0000467,VE0046857
EN0000468,VE0097922
EN0000469,VE0056736
EN0000470,VE0082790
EN0000471,VE0065297
EN0000472,VE0092026
EN0000473,VE0039822
EN0000474,VE0021632
EN0000475,VE0002610
EN0000476,VE0015884
EN0000477,VE0000523
EN0000478,VE0020408
EN0000479,VE0083334
EN0000480,VE0055172
EN0000481,VE0035321
EN0000482,VE0035801
EN0000483,VE0021506
EN0000484,VE0058084
EN0000485,VE0084538
EN0000486,VE0039712
EN0000487,VE0008426
EN0000488,VE0059589
EN0000489,VE0081563
EN0000490,VE0051286
EN0000491,VE0060055
EN0000492,VE0030690
EN0000493,VE0007636
EN0000494,VE0080719
EN0000495,VE0052653
EN0000496,VE0063865
EN0000497,VE0077417
EN0000498,VE0067377
EN0000499,VE0087906
EN0000500,VE0029243
EN0000501,VE0070454
EN0000502,VE0038919
EN0000503,VE0046654
EN0000504,VE0063600
EN0000505,VE0095033
EN0000506,VE0043270
EN0000507,VE0089513
EN0000508,VE0083881
EN0000509,VE0042282
EN0000510,VE0004574
EN0000511,VE0010716
EN0000512,VE0068275
EN0000513,VE0011930
EN0000514,VE0003627
EN0000515,VE0064690
EN0000516,VE0045619
EN0000517,VE0047302
EN0000518,VE0031059
EN0000519,VE0046388
EN0000520,VE0074062
EN0000521,VE0091698
EN0000522,VE0038141
EN0000523,VE0023437
EN0000524,VE0040476
EN0000525,VE0094959
EN0000526,VE0026867
EN0000527,VE0063953
EN0000528,VE0078170
EN0000529,VE0023573
EN0000530,VE0003853
EN0000531,VE0019652
EN0000532,VE0006164
EN0000533,VE0086939
EN0000534,VE0062531
EN0000535,VE0076976
EN0000536,VE0005945
EN0000537,VE0011004
EN0000538,VE0070589
EN0000539,VE0093552
EN0000540,VE0088410
EN0000541,VE0027626
EN0000542,VE0057496
EN0000543,VE0040151
EN0000544,VE0000239
EN0000545,VE0051485
EN0000546,VE0020989
EN0000547,VE0089061
EN0000548,VE0085760
EN0000549,VE0025871
EN0000550,VE0056979
EN0000551,VE0032548
EN0000552,VE0060188
EN0000553,VE0051658
EN0000554,VE0093042
EN0000555,VE0094609
EN0000556,VE0095981
EN0000557,VE0056141
EN0000558,VE0029773
EN0000559,VE0049218
EN0000560,VE0081134
EN0000561,VE0034746
EN0000562,VE0022893
EN0000563,VE0098945
EN0000564,VE0005354
EN0000565,VE0064865
EN0000566,VE0080572
EN0000567,VE0012272
EN0000568,VE0085732
EN0000569,VE0054279
EN0000570,VE0078945
EN0000571,VE0044695
EN0000572,VE0074852
EN0000573,VE0094799
EN0000574,VE0090573
EN0000575,VE0018410
EN0000576,VE0025422
EN0000577,VE0015258
EN0000578,VE0094473
EN0000579,VE0013101
EN0000580,VE0091380
EN0000581,VE0095478
EN0000582,VE0085097
EN0000583,VE0075889
EN0000584,VE0097320
EN0000585,VE0026856
EN0000586,VE0010062
EN0000587,VE0070070
EN0000588,VE0020448
EN0000589,VE0049782
EN0000590,VE0058285
EN0000591,VE0085134
EN0000592,VE0092785
EN0000593,VE0060095
EN0000594,VE0015514
EN0000595,VE0070808
EN0000596,VE0062382
EN0000597,VE0069976
EN0000598,VE0031327
EN0000599,VE0009348
EN0000600,VE0017670
EN0000601,VE0053922
EN0000602,VE0099978
EN0000603,VE0052777
EN0000604,VE0044291
EN0000605,VE0091078
EN0000606,VE0038594
EN0000607,VE0090447
EN0000608,VE0046914
EN0000609,VE0046234
EN0000610,VE0094148
EN0000611,VE0093882
EN0000612,VE0005991
EN0000613,VE0034622
EN0000614,VE0041615
EN0000615,VE0099941
EN0000616,VE0055165
EN0000617,VE0069343
EN0000618,VE0019361
EN0000619,VE0043618
EN0000620,VE0041290
EN0000621,VE0034055
EN0000622,VE0099078
EN0000623,VE0080719
EN0000624,VE0043456
EN0000625,VE0036273
EN0000626,VE0028658
EN0000627,VE0016460
EN0000628,VE0050431
EN0000629,VE0018826
EN0000630,VE0091707
EN0000631,VE0002395
EN0000632,VE0031143
EN0000633,VE0010756
EN0000634,VE0000549
EN0000635,VE0092633
EN0000636,VE0025251
EN0000637,VE0044389
EN0000638,VE0078839
EN0000639,VE0008783
EN0000640,VE0054236
EN0000641,VE0029700
EN0000642,VE0094286
EN0000643,VE0053874
EN0000644,VE0074578
EN0000645,VE0031180
EN0000646,VE0012339
EN0000647,VE0012234
EN0000648,VE0038857
EN0000649,VE0082127
EN0000650,VE0014844
EN0000651,VE0038500
EN0000652,VE0038372
EN0000653,VE0064893
EN0000654,VE0088825
EN0000655,VE0020913
EN0000656,VE0071970
EN0000657,VE0050301
EN0000658,VE0071114
EN0000659,VE0034118
EN0000660,VE0001738
EN0000661,VE0010126
EN0000662,VE0096550
EN0000663,VE0080823
EN0000664,VE0094443
EN0000665,VE0095211
EN0000666,VE0073401
EN0000667,VE0062960
EN0000668,VE0054622
EN0000669,VE0020504
EN0000670,VE0049608
EN0000671,VE0064782
EN0000672,VE0073120
EN0000673,VE0013398
EN0000674,VE0090027
EN0000675,VE0091774
EN0000676,VE0074846
EN0000677,VE0028772
EN0000678,VE0068055
EN0000679,VE0054745
EN0000680,VE0034128
EN0000681,VE0087690
EN0000682,VE0082003
EN0000683,VE0053710
EN0000684,VE0035003
EN0000685,VE0033173
EN0000686,VE0005398
EN0000687,VE0093253
EN0000688,VE0071314
EN0000689,VE0014292
EN0000690,VE0093763
EN0000691,VE0069320
EN0000692,VE0004126
EN0000693,VE0047165
EN0000694,VE0071530
EN0000695,VE0091390
EN0000696,VE0036182
EN0000697,VE0026843
EN0000698,VE0041992
EN0000699,VE0066087
EN0000700,VE0093576
EN0000701,VE0002668
EN0000702,VE0008696
EN0000703,VE0051262
EN0000704,VE0028149
EN0000705,VE0027515
EN0000706,VE0003204
EN0000707,VE0066105
EN0000708,VE0048179
EN0000709,VE0032231
EN0000710,VE0097672
EN0000711,VE0000357
EN0000712,VE0051231
EN0000713,VE0059572
EN0000714,VE0050535
EN0000715,VE0075454
EN0000716,VE0010934
EN0000717,VE0074504
EN0000718,VE0048542
EN0000719,VE0096598
EN0000720,VE0030086
EN0000721,VE0023238
EN0000722,VE0034987
EN0000723,VE0032680
EN0000724,VE0075141
EN0000725,VE0093647
EN0000726,VE0023184
EN0000727,VE0037704
EN0000728,VE0078820
EN0000729,VE0081889
EN0000730,VE0093534
EN0000731,VE0093647
EN0000732,VE0060478
EN0000733,VE0090366
EN0000734,VE0043183
EN0000735,VE0030741
EN0000736,VE0008540
EN0000737,VE0090649
EN0000738,VE0050087
EN0000739,VE0050845
EN0000740,VE0053287
EN0000741,VE0048537
EN0000742,VE0076997
EN0000743,VE0090321
EN0000744,VE0073916
EN0000745,VE0018117
EN0000746,VE0049431
EN0000747,VE0069058
EN0000748,VE0082127
EN0000749,VE0043027
EN0000750,VE0059410
EN0000751,VE0055394
EN0000752,VE0067562
EN0000753,VE0076100
EN0000754,VE0010601
EN0000755,VE0023941
EN0000756,VE0073063
EN0000757,VE0001535
EN0000758,VE0079809
EN0000759,VE0062281
EN0000760,VE0068534
EN0000761,VE0080647
EN0000762,VE0028222
EN0000763,VE0000988
EN0000764,VE0084933
EN0000765,VE0021641
EN0000766,VE0017206
EN0000767,VE0016673
EN0000768,VE0016511
EN0000769,VE0096032
EN0000770,VE0016619
EN0000771,VE0068846
EN0000772,VE0093998
EN0000773,VE0054381
EN0000774,VE0096999
EN0000775,VE0098481
EN0000776,VE0044026
EN0000777,VE0003911
EN0000778,VE0031601
EN0000779,VE0029103
EN0000780,VE0076248
EN0000781,VE0024024
EN0000782,VE0032550
EN0000783,VE0080338
EN0000784,VE0007454
EN0000785,VE0042857
EN0000786,VE0082543
EN0000787,VE0029532
EN0000788,VE0064138
EN0000789,VE0013826
EN0000790,VE0073588
EN0000791,VE0009805
EN0000792,VE0015100
EN0000793,VE0091333
EN0000794,VE0097848
EN0000795,VE0062154
EN0000796,VE0015399
EN0000797,VE0091604
EN0000798,VE0029439
EN0000799,VE0033147
EN0000800,VE0072511
EN0000801,VE0059327
EN0000802,VE0057567
EN0000803,VE0096440
EN0000804,VE0038246
EN0000805,VE0082598
EN0000806,VE0075151
EN0000807,VE0058113
EN0000808,VE0088820
EN0000809,VE0073785
EN0000810,VE0078130
EN0000811,VE0013653
EN0000812,VE0090592
EN0000813,VE0017836
EN0000814,VE0088382
EN0000815,VE0077213
EN0000816,VE0055745
EN0000817,VE0016811
EN0000818,VE0091965
EN0000819,VE0050469
EN0000820,VE0040996
EN0000821,VE0011712
EN0000822,VE0092772
EN0000823,VE0085415
EN0000824,VE0029914
EN0000825,VE0072255
EN0000826,VE0071365
EN0000827,VE0055335
EN0000828,VE0012030
EN0000829,VE0079364
EN0000830,VE0089143
EN0000831,VE0071004
EN0000832,VE0007312
EN0000833,VE0037120
EN0000834,VE0058263
EN0000835,VE0033657
EN0000836,VE0084446
EN0000837,VE0002897
EN0000838,VE0074017
EN0000839,VE0039679
EN0000840,VE0032109
EN0000841,VE0000520
EN0000842,VE0042475
EN0000843,VE0060908
EN0000844,VE0034435
EN0000845,VE0036585
EN0000846,VE0021404
EN0000847,VE0033813
EN0000848,VE0021164
EN0000849,VE0091774
EN0000850,VE0000583
EN0000851,VE0052733
EN0000852,VE0068564
EN0000853,VE0046757
EN0000854,VE0091229
EN0000855,VE0060553
EN0000856,VE0011029
EN0000857,VE0095589
EN0000858,VE0016399
EN0000859,VE0057854
EN0000860,VE0021628
EN0000861,VE0040610
EN0000862,VE0094444
EN0000863,VE0062469
EN0000864,VE0008523
EN0000865,VE0097066
EN0000866,VE0031663
EN0000867,VE0052341
EN0000868,VE0055793
EN0000869,VE0016560
EN0000870,VE0017191
EN0000871,VE0016626
EN0000872,VE0043110
EN0000873,VE0075935
EN0000874,VE0037409
EN0000875,VE0008659
EN0000876,VE0061005
EN0000877,VE0017144
EN0000878,VE0007116
EN0000879,VE0092733
EN0000880,VE0031616
EN0000881,VE0042756
EN0000882,VE0057929
EN0000883,VE0071479
EN0000884,VE0034073
EN0000885,VE0056468
EN0000886,VE0014838
EN0000887,VE0035404
EN0000888,VE0067213
EN0000889,VE0069156
EN0000890,VE0030438
EN0000891,VE0076834
EN0000892,VE0037943
EN0000893,VE0041066
EN0000894,VE0045692
EN0000895,VE0066599
EN0000896,VE0050851
EN0000897,VE0054635
EN0000898,VE0081062
EN0000899,VE0010351
EN0000900,VE0065033
EN0000901,VE0017522
EN0000902,VE0070332
EN0000903,VE0030289
EN0000904,VE0057177
EN0000905,VE0046676
EN0000906,VE0015298
EN0000907,VE0082408
EN0000908,VE0045864
EN0000909,VE0060011
EN0000910,VE0021610
EN0000911,VE0088978
EN0000912,VE0012623
EN0000913,VE0093600
EN0000914,VE0020309
EN0000915,VE0034933
EN0000916,VE0059961
EN0000917,VE0022163
EN0000918,VE0082944
EN0000919,VE0063340
EN0000920,VE0033231
EN0000921,VE0053590
EN0000922,VE0095975
EN0000923,VE0064873
EN0000924,VE0023340
EN0000925,VE0011700
EN0000926,VE0024203
EN0000927,VE0027072
EN0000928,VE0035740
EN0000929,VE0041271
EN0000930,VE0077928
EN0000931,VE0059818
EN0000932,VE0025182
EN0000933,VE0070396
EN0000934,VE0006399
EN0000935,VE0017689
EN0000936,VE0008875
EN0000937,VE0011914
EN0000938,VE0046535
EN0000939,VE0079866
EN0000940,VE0028535
EN0000941,VE0017874
EN0000942,VE0028899
EN0000943,VE0018092
EN0000944,VE0034323
EN0000945,VE0097125
EN0000946,VE0090157
EN0000947,VE0011658
EN0000948,VE0016008
EN0000949,VE0032506
EN0000950,VE0025543
EN0000951,VE0062530
EN0000952,VE0050633
EN0000953,VE0053548
EN0000954,VE0020369
EN0000955,VE0067504
EN0000956,VE0085108
EN0000957,VE0006819
EN0000958,VE0067784
EN0000959,VE0002930
EN0000960,VE0011990
EN0000961,VE0073975
EN0000962,VE0092447
EN0000963,VE0027139
EN0000964,VE0055716
EN0000965,VE0005684
EN0000966,VE0042447
EN0000967,VE0091199
EN0000968,VE0039100
EN0000969,VE0072027
EN0000970,VE0095740
EN0000971,VE0039290
EN0000972,VE0014497
EN0000973,VE0086922
EN0000974,VE0091561
EN0000975,VE0052507
EN0000976,VE0075528
EN0000977,VE0090652
EN0000978,VE0074056
EN0000979,VE0035228
EN0000980,VE0057142
EN0000981,VE0023224
EN0000982,VE0076749
EN0000983,VE0082940
EN0000984,VE0004461
EN0000985,VE0085133
EN0000986,VE0099902
EN0000987,VE0098239
EN0000988,VE0083841
EN0000989,VE0070999
EN0000990,VE0010372
EN0000991,VE0079536
EN0000992,VE0003519
EN0000993,VE0046109
EN0000994,VE0002804
EN0000995,VE0050860
EN0000996,VE0006276
EN0000997,VE0091738
EN0000998,VE0065396
EN0000999,VE0071516
EN0001000,VE0094352
EN0001001,VE0001568
EN0001002,VE0004367
EN0001003,VE0070306
EN0001004,VE0046823
EN0001005,VE0094891
EN0001006,VE0093712
EN0001007,VE0003415
EN0001008,VE0088073
EN0001009,VE0013402
EN0001010,VE0060299
EN0001011,VE0068568
EN0001012,VE0025571
EN0001013,VE0043783
EN0001014,VE0020687
EN0001015,VE0029059
EN0001016,VE0009242
EN0001017,VE0000589
EN0001018,VE0058547
EN0001019,VE0098125
EN0001020,VE0005444
EN0001021,VE0003099
EN0001022,VE0004868
EN0001023,VE0090783
EN0001024,VE0057237
EN0001025,VE0076641
EN0001026,VE0035024
EN0001027,VE0015250
EN0001028,VE0056417
EN0001029,VE0025328
EN0001030,VE0044735
EN0001031,VE0030521
EN0001032,VE0085992
EN0001033,VE0002230
EN0001034,VE0003622
EN0001035,VE0090631
EN0001036,VE0062472
EN0001037,VE0051121
EN0001038,VE0062006
EN0001039,VE0056585
EN0001040,VE0030605
EN0001041,VE0031848
EN0001042,VE0057544
EN0001043,VE0035943
EN0001044,VE0066090
EN0001045,VE0084456
EN0001046,VE0075125
EN0001047,VE0078013
EN0001048,VE0063801
EN0001049,VE0093370
EN0001050,VE0065958
EN0001051,VE0063828
EN0001052,VE0086613
EN0001053,VE0056874
EN0001054,VE0099354
EN0001055,VE0025773
EN0001056,VE0090156
EN0001057,VE0071485
EN0001058,VE0058746
EN0001059,VE0047638
EN0001060,VE0044428
EN0001061,VE0040996
EN0001062,VE0072037
EN0001063,VE0030996
EN0001064,VE0047769
EN0001065,VE0017878
EN0001066,VE0033990
EN0001067,VE0035678
EN0001068,VE0042746
EN0001069,VE0068415
EN0001070,VE0027702
EN0001071,VE0098788
EN0001072,VE0045321
EN0001073,VE0064603
EN0001074,VE0017123
EN0001075,VE0003118
EN0001076,VE0097144
EN0001077,VE0020289
EN0001078,VE0066173
EN0001079,VE0005568
EN0001080,VE0022021
EN0001081,VE0063627
EN0001082,VE0094318
EN0001083,VE0050749
EN0001084,VE0075396
EN0001085,VE0085917
EN0001086,VE0039496
EN0001087,VE0085658
EN0001088,VE0037299
EN0001089,VE0044197
EN0001090,VE0055215
EN0001091,VE0065777
EN0001092,VE0026246
EN0001093,VE0013465
EN0001094,VE0002651
EN0001095,VE0072065
EN0001096,VE0071856
EN0001097,VE0065985
EN0001098,VE0035513
EN0001099,VE0002228
EN0001100,VE0065016
EN0001101,VE0062016
EN0001102,VE0074822
EN0001103,VE0072878
EN0001104,VE0068958
EN0001105,VE0066058
EN0001106,VE0066522
EN0001107,VE0097015
EN0001108,VE0010651
EN0001109,VE0064588
EN0001110,VE0011747
EN0001111,VE0094188
EN0001112,VE0094495
EN0001113,VE0023658
EN0001114,VE0045051
EN0001115,VE0022547
EN0001116,VE0086147
EN0001117,VE0074232
EN0001118,VE0092681
EN0001119,VE0078540
EN0001120,VE0042202
EN0001121,VE0023098
EN0001122,VE0069501
EN0001123,VE0005671
EN0001124,VE0005046
EN0001125,VE0081421
EN0001126,VE0021697
EN0001127,VE0098492
EN0001128,VE0067286
EN0001129,VE0009976
EN0001130,VE0007735
EN0001131,VE0064734
EN0001132,VE0050728
EN0001133,VE0002477
EN0001134,VE0025984
EN0001135,VE0031386
EN0001136,VE0003254
EN0001137,VE0042721
EN0001138,VE0007008
EN0001139,VE0084283
EN0001140,VE0078587
EN0001141,VE0061630
EN0001142,VE0038144
EN0001143,VE0039159
EN0001144,VE0066227
EN0001145,VE0021215
EN0001146,VE0095928
EN0001147,VE0064622
EN0001148,VE0061119
EN0001149,VE0002442
EN0001150,VE0009994
EN0001151,VE0055238
EN0001152,VE0042671
EN0001153,VE0086407
EN0001154,VE0044268
EN0001155,VE0031532
EN0001156,VE0022980
EN0001157,VE0086269
EN0001158,VE0037639
EN0001159,VE0061122
EN0001160,VE0041875
EN0001161,VE0044521
EN0001162,VE0059503
EN0001163,VE0015739
EN0001164,VE0005829
EN0001165,VE0048675
