id,nombre,idioma,fecha_adquisicion,fecha_estreno,genero_id,duracion_h,resena,nivelpublico_id
MOV000066,Assassination Nation,GB,2021-07-25,2021-08-23,GP0000021,1.5,Nothing interview like give from.,RE00000003
MOV000067,Assault on Precinct 13,GB,2021-02-12,2021-02-20,GP0000006,2.0,Represent eat wife letter memory summer everyone.,RE00000002
MOV000068,"Assistant, The",GB,2021-06-11,2021-07-08,GP0000004,1.5,Next participant the future mission writer not.,RE00000003
MOV000069,"Atomic Cafe, The",GB,2021-08-16,2021-08-18,GP0000018,1.75,Last nothing firm religious use sea month.,RE00000003
MOV000070,Atomic Zombies,GB,2021-05-12,2021-05-17,GP0000011,2.0,Case sit conference short his.,RE00000004
MOV000071,Attack of the Killer Tomatoes,GB,2021-10-22,2021-10-28,GP0000018,2.0,Tonight should major candidate growth particularly.,RE00000003
MOV000072,Attack the Block,GB,2021-01-28,2021-02-13,GP0000007,1.0,Show show goal party suddenly.,RE00000003
MOV000073,"Attic Expeditions, The",GB,2021-03-12,2021-03-24,GP0000022,1.75,Change culture capital top.,RE00000004
MOV000074,Audition,GB,2021-02-14,2021-03-07,GP0000021,1.5,Economy in mother suffer could oil.,RE00000002
MOV000075,Auto Focus,GB,2021-07-08,2021-07-16,GP0000003,2.0,Land able with score high.,RE00000004
MOV000076,"Autopsy of Jane Doe, The",GB,2021-01-23,2021-02-19,GP0000025,1.0,Two news partner child dream action machine.,RE00000002
MOV000077,Avatar,GB,2021-10-17,2021-10-29,GP0000003,1.5,People through back all south.,RE00000003
MOV000078,Awaara (1951),GB,2021-10-20,2021-11-17,GP0000002,2.0,Low region past decade consider city.,RE00000004
MOV000079,"Babadook, The",GB,2021-02-05,2021-02-22,GP0000023,1.0,Source good again produce them cup.,RE00000001
MOV000080,Baby Blood,GB,2021-07-15,2021-08-10,GP0000011,1.0,Development three budget guy general table threat police.,RE00000003
MOV000081,"Bad Batch, The",GB,2021-07-03,2021-07-05,GP0000006,2.0,Modern all serve gun both expert term.,RE00000004
MOV000082,Bad Biology,GB,2021-10-17,2021-11-11,GP0000009,2.0,Take remain organization smile eye join market this.,RE00000004
MOV000083,Bad Boys,GB,2021-03-07,2021-03-31,GP0000008,1.75,Each four not fish.,RE00000002
MOV000084,Bad Education,GB,2021-07-29,2021-08-24,GP0000003,2.0,Last else window dog.,RE00000002
MOV000085,Bad Girls Go to Hell,GB,2021-04-17,2021-04-28,GP0000009,1.0,Science eat speak cell.,RE00000002
MOV000086,Bad Grandpa,GB,2021-06-14,2021-07-08,GP0000021,1.5,Them admit child you start everybody.,RE00000002
MOV000087,Bad Lieutenant,GB,2021-10-06,2021-10-21,GP0000011,1.5,Officer experience first station.,RE00000002
MOV000088,Bad Santa,GB,2021-09-05,2021-09-17,GP0000012,1.0,Six ahead vote car identify strong remember yeah.,RE00000003
MOV000089,Baise-moi,GB,2021-03-29,2021-04-27,GP0000025,1.0,Hope six concern food against.,RE00000001
MOV000090,Bambi,GB,2021-07-14,2021-08-03,GP0000019,2.0,Represent blood change thank us general structure pay.,RE00000003
MOV000091,Bandersnatch,GB,2021-05-30,2021-06-02,GP0000024,1.0,Half trouble nation around various I old.,RE00000002
MOV000092,Bandit Queen (1994),GB,2021-03-29,2021-04-23,GP0000013,1.75,Else at guess able small trade.,RE00000002
MOV000093,Barbarella,GB,2021-03-29,2021-04-09,GP0000011,1.0,Nation result show own still service.,RE00000004
MOV000094,Barbershop,GB,2021-03-23,2021-04-07,GP0000016,1.5,During product they very Democrat whole prevent.,RE00000001
MOV000095,Barfi! (2012),GB,2021-07-03,2021-08-01,GP0000013,1.5,Reflect rate bar.,RE00000004
MOV000096,Barking Dogs Never Bite,GB,2021-11-23,2021-12-01,GP0000019,1.75,Even use soldier notice.,RE00000001
MOV000097,Barry Lyndon,GB,2021-11-17,2021-11-17,GP0000003,1.75,Across do return building authority power.,RE00000004
MOV000098,Bartleby,GB,2021-09-18,2021-09-18,GP0000024,1.5,Decision already firm remember citizen letter bar.,RE00000003
MOV000099,Barton Fink,GB,2021-04-11,2021-05-03,GP0000008,1.5,Really make authority program green fall top.,RE00000001
MOV000100,Basic Instinct,GB,2021-04-22,2021-05-01,GP0000021,1.5,Ahead assume will apply.,RE00000004
MOV000101,Basket Case,GB,2021-03-12,2021-03-13,GP0000022,2.0,Country clearly cup.,RE00000004
MOV000102,Baskin,GB,2021-12-02,2021-12-30,GP0000023,1.75,Write suddenly skin history along.,RE00000003
MOV000103,Battle Royale,GB,2021-11-14,2021-11-18,GP0000017,1.0,Surface figure thought.,RE00000001
MOV000104,"Beach Bum, The",GB,2021-10-11,2021-10-18,GP0000015,1.0,Reason surface within we chair.,RE00000004
MOV000105,"Beach, The",GB,2021-04-10,2021-04-21,GP0000018,2.0,Young act itself morning red their.,RE00000003
MOV000106,Beasts of the Southern Wild,GB,2021-10-15,2021-10-26,GP0000023,2.0,Sometimes to development drug along million director.,RE00000002
MOV000107,Bedazzled,GB,2021-10-17,2021-10-24,GP0000020,2.0,Big rather among support.,RE00000001
MOV000108,Beetlejuice,GB,2021-05-09,2021-05-27,GP0000023,1.0,Last physical college its she speech across perhaps.,RE00000003
MOV000109,"Beguiled, The",GB,2021-02-07,2021-02-24,GP0000015,1.0,Wrong land other article hotel.,RE00000002
MOV000110,Behind the Curve,GB,2021-04-16,2021-04-23,GP0000020,2.0,Arm do direction great nation themselves team.,RE00000002
MOV000111,Behind the Mask,GB,2021-05-06,2021-05-23,GP0000014,1.0,At as single national administration heavy sound.,RE00000002
MOV000112,Being John Malkovich,GB,2021-05-14,2021-05-29,GP0000014,1.75,Us determine night item feel.,RE00000003
MOV000113,"Belko Experiment, The",GB,2021-07-25,2021-08-11,GP0000002,1.0,Resource investment even professor technology concern decide.,RE00000004
MOV000114,Belladonna of Sadness,GB,2021-02-24,2021-03-05,GP0000022,2.0,Own our same tough still forward.,RE00000002
MOV000115,Belle de Jour,GB,2021-02-03,2021-02-17,GP0000005,1.5,Office deep leg speak major while.,RE00000001
MOV000116,Bellflower,GB,2021-07-07,2021-07-20,GP0000011,2.0,Against work less check.,RE00000001
MOV000117,Berberian Sound Studio,GB,2021-07-07,2021-07-18,GP0000002,1.5,Range final imagine deal will deal organization.,RE00000004
MOV000118,Better Watch Out,GB,2021-08-18,2021-09-15,GP0000005,1.5,Land none main.,RE00000004
MOV000119,Betting on Zero,GB,2021-02-09,2021-02-15,GP0000006,1.0,Benefit start maintain view when.,RE00000002
MOV000120,Beyond the Valley of the Dolls,GB,2021-11-03,2021-11-24,GP0000001,1.75,Single young recent two shake human.,RE00000002
MOV000121,"Beyond, The",GB,2021-09-20,2021-10-14,GP0000014,1.0,Change behavior voice understand natural claim yourself.,RE00000002
MOV000122,Bhaag Milkha Bhaag (2013),GB,2021-07-07,2021-08-01,GP0000004,1.75,Remain down citizen pull prevent sit.,RE00000002
MOV000123,Bicentennial Man,GB,2021-09-29,2021-10-07,GP0000021,1.5,Five behind present total discover peace product.,RE00000004
MOV000124,Big Bad Wolves,GB,2021-08-08,2021-09-02,GP0000006,1.75,Girl step hour ago.,RE00000004
MOV000125,"Big Bird Cage, The",GB,2021-11-27,2021-12-17,GP0000004,1.75,Law term career sign act admit.,RE00000002
MOV000126,Big Fan,GB,2021-04-27,2021-05-17,GP0000012,2.0,Deal this seat about need realize.,RE00000002
MOV000127,"Big Lebowski, The",GB,2021-04-05,2021-04-12,GP0000024,2.0,Available question future design general like eight.,RE00000003
MOV000128,Big Man Japan,GB,2021-09-28,2021-10-10,GP0000024,1.0,Physical sell long new.,RE00000001
MOV000129,"Big Sick, The",GB,2021-12-09,2022-01-04,GP0000005,2.0,Similar skin then experience arrive expert.,RE00000001
MOV000130,Big Top Pee-Wee,GB,2021-09-16,2021-10-08,GP0000023,1.75,Early pick event speech report interview.,RE00000001
MOV000131,Big Trouble in Little China,GB,2021-02-20,2021-02-23,GP0000020,1.0,It degree prevent card alone son.,RE00000002
MOV000132,Bill and Teds Excellent Adventure,GB,2021-05-19,2021-06-14,GP0000014,1.5,Ahead than agency ball success on.,RE00000003
MOV000133,Billy Jack,GB,2021-11-27,2021-12-15,GP0000008,1.75,Practice couple process north green vote our apply.,RE00000003
MOV000134,"Bird with the Crystal Plumage, The",GB,2021-01-24,2021-02-08,GP0000004,1.0,Whose hair color.,RE00000004
MOV000135,Birdman,GB,2021-01-10,2021-01-17,GP0000015,1.75,Product magazine would piece develop pass western.,RE00000003
MOV000136,"Bittersweet Life, A",GB,2021-05-10,2021-05-26,GP0000018,1.0,Forward five perhaps beyond.,RE00000004
MOV000137,Black (2005),GB,2021-10-10,2021-10-25,GP0000007,1.5,Those magazine specific live debate truth approach.,RE00000003
MOV000138,"Black Cauldron, The",GB,2021-03-08,2021-04-02,GP0000003,1.0,Mention analysis always everyone your couple phone a.,RE00000004
MOV000139,Black Christmas,GB,2021-04-06,2021-05-03,GP0000019,1.0,Allow and agree traditional.,RE00000002
MOV000140,Black Dynamite,GB,2021-04-29,2021-05-26,GP0000019,1.0,Unit a enjoy may argue big style TV.,RE00000002
MOV000141,Black Friday (2004),GB,2021-10-03,2021-10-08,GP0000008,1.5,Maintain bring rich night land.,RE00000004
MOV000142,Black Snake Moan,GB,2021-09-17,2021-09-29,GP0000012,2.0,Explain than forget health pattern language some like.,RE00000001
MOV000143,Black Swan,GB,2021-05-13,2021-06-11,GP0000016,2.0,Population speak rate attack former conference inside.,RE00000003
MOV000144,Blacula,GB,2021-04-15,2021-04-18,GP0000025,1.75,Third point better ever surface make.,RE00000002
MOV000145,Blade Runner,GB,2021-03-24,2021-04-14,GP0000025,2.0,Yourself statement pressure drop weight crime.,RE00000002
MOV000146,Blade Runner 2049,GB,2021-10-11,2021-10-25,GP0000008,2.0,Seven example theory hold.,RE00000003
MOV000147,Blade of the Immortal,GB,2021-03-06,2021-03-27,GP0000007,2.0,Agent station true fish radio.,RE00000002
MOV000148,Blair Witch,GB,2021-06-03,2021-06-27,GP0000017,1.75,Teacher agree choose agreement pattern relate.,RE00000004
MOV000149,"Blair Witch Project, The",GB,2021-11-28,2021-12-17,GP0000022,2.0,Behind let production development television house.,RE00000002
MOV000150,Blazing Saddles,GB,2021-05-14,2021-05-22,GP0000017,1.0,Close morning exist station.,RE00000002
MOV000151,Blindspotting,GB,2021-07-03,2021-07-11,GP0000025,1.5,Bring perhaps anyone protect blood discuss.,RE00000004
MOV000152,"Bling Ring, The",GB,2021-09-22,2021-10-19,GP0000021,1.5,Learn discover recognize happy its.,RE00000002
MOV000153,"Blob, The",GB,2021-03-04,2021-03-27,GP0000017,2.0,Surface realize still know behind focus food.,RE00000001
MOV000154,Blood Feast,GB,2021-07-10,2021-08-05,GP0000013,2.0,Central still happen skin.,RE00000001
MOV000155,Blood Feast 2,GB,2021-02-07,2021-03-08,GP0000001,1.0,About defense sister body.,RE00000002
MOV000156,Blood Simple,GB,2021-07-06,2021-07-27,GP0000018,2.0,Consumer news explain go.,RE00000004
MOV000157,Blood and Black Lace,GB,2021-09-25,2021-10-21,GP0000006,2.0,Bank term development financial impact five.,RE00000003
MOV000158,Blood and Bone,GB,2021-11-16,2021-12-11,GP0000015,1.5,Degree federal always writer.,RE00000003
MOV000159,Bloody Birthday,GB,2021-07-13,2021-07-30,GP0000006,1.75,Such here way who white.,RE00000004
MOV000160,Blown Away,GB,2021-08-27,2021-09-09,GP0000025,1.5,Really cold then raise last from.,RE00000004
MOV000161,Blowup,GB,2021-07-12,2021-08-06,GP0000022,1.0,Idea great cover identify could.,RE00000002
MOV000162,Blue Jasmine,GB,2021-10-19,2021-10-25,GP0000012,1.0,Throw concern especially economy full coach customer.,RE00000003
MOV000163,Blue My Mind,GB,2021-07-24,2021-07-30,GP0000007,1.0,View fine under agree land little.,RE00000001
MOV000164,Blue Ruin,GB,2021-08-28,2021-09-09,GP0000007,1.75,Program eat one my account require seven.,RE00000004
MOV000165,Blue Velvet,GB,2021-09-05,2021-09-27,GP0000010,1.5,Wait final bring western certainly under long.,RE00000003
MOV000166,"Blues Brothers, The",GB,2021-04-02,2021-04-13,GP0000016,1.0,Partner follow garden lay dinner expert.,RE00000001
MOV000167,Bobby (1973),GB,2021-08-27,2021-09-14,GP0000007,2.0,Its when protect give.,RE00000004
MOV000168,Body Double,GB,2021-01-10,2021-02-01,GP0000020,1.75,Upon them number game talk middle now week.,RE00000004
MOV000169,Bokeh,GB,2021-03-09,2021-03-30,GP0000024,1.75,Campaign weight business lay style.,RE00000003
MOV000170,Bombay (1995),GB,2021-03-03,2021-03-29,GP0000009,1.75,Perhaps on air.,RE00000004
MOV000171,Bone Tomahawk,GB,2021-06-22,2021-06-30,GP0000012,1.0,Describe up and add human bill.,RE00000004
MOV000172,Booksmart,GB,2021-07-29,2021-08-05,GP0000009,2.0,Trip behavior reduce exist think really young.,RE00000001
MOV000173,Boondock Saints,GB,2021-03-10,2021-03-24,GP0000018,1.5,South suffer time appear decision beat green.,RE00000003
MOV000174,Border,GB,2021-12-01,2021-12-01,GP0000025,2.0,Boy wish white treatment that green more natural.,RE00000002
MOV000175,Bound,GB,2021-03-04,2021-03-18,GP0000014,2.0,Eye computer increase maintain sense attack finish.,RE00000002
MOV000176,Boxing Helena,GB,2021-08-02,2021-08-27,GP0000003,1.5,Believe order parent situation.,RE00000003
MOV000177,Brain Damage,GB,2021-08-16,2021-08-25,GP0000020,1.0,Miss west wide.,RE00000004
MOV000178,"Brave Little Toaster, The",GB,2021-08-29,2021-09-03,GP0000023,1.0,Few according per hair physical dinner third your.,RE00000001
MOV000179,Brawl in Cell Block 99,GB,2021-05-24,2021-05-31,GP0000012,2.0,Style left white.,RE00000001
MOV000180,Brazil,GB,2021-02-09,2021-02-22,GP0000022,1.75,Candidate Mrs forward hotel kid.,RE00000004
MOV000181,"Breakfast Club, The",GB,2021-09-08,2021-10-05,GP0000006,1.75,Enjoy effort increase sort marriage know.,RE00000003
MOV000182,Breaking the Waves,GB,2021-10-31,2021-11-04,GP0000018,1.75,Focus current development like why something.,RE00000001
MOV000183,Bride of Frankenstein,GB,2021-04-24,2021-05-14,GP0000006,1.0,About hot machine media its.,RE00000001
MOV000184,Bright Falls,GB,2021-08-11,2021-08-15,GP0000006,1.75,Later make simple cut series.,RE00000003
MOV000185,Brigsby Bear,GB,2021-02-28,2021-03-06,GP0000023,1.0,Pressure explain alone decision near movement.,RE00000002
MOV000186,Bringing Out the Dead,GB,2021-05-29,2021-06-22,GP0000016,1.0,Nearly size edge between work.,RE00000004
MOV000187,Bronson,GB,2021-04-07,2021-04-14,GP0000021,1.5,Song year better down ahead visit someone can.,RE00000002
MOV000188,"Brood, The",GB,2021-03-24,2021-04-10,GP0000022,1.5,Resource why attorney southern minute consider.,RE00000001
MOV000189,"Brother From Another Planet, The",GB,2021-08-31,2021-09-09,GP0000017,1.75,Apply certain sure almost report.,RE00000003
MOV000190,"Brothers Grimm, The",GB,2021-08-16,2021-08-30,GP0000011,1.5,Statement share point concern politics age.,RE00000002
MOV000191,Bubba Ho-tep,GB,2021-11-29,2021-12-24,GP0000023,1.0,Bank evening early international learn first early.,RE00000001
MOV000192,Bubble,GB,2021-04-24,2021-05-06,GP0000005,2.0,For suffer record yeah lay bank able wide.,RE00000002
MOV000193,"Bucket of Blood, A",GB,2021-12-11,2021-12-29,GP0000006,1.5,Their various beat that become list day prove.,RE00000003
MOV000194,Buffalo 66,GB,2021-09-07,2021-10-03,GP0000013,1.75,Walk huge finish rest body.,RE00000003
MOV000195,Buffy the Vampire Slayer,GB,2021-04-12,2021-04-21,GP0000014,1.75,Have rock husband college especially hard.,RE00000001
MOV000196,Bug,GB,2021-06-30,2021-07-07,GP0000005,1.0,Where throughout born grow specific weight.,RE00000001
MOV000197,Bullitt,GB,2021-11-01,2021-11-09,GP0000018,1.75,By law system speak.,RE00000003
MOV000198,Bulworth,GB,2021-09-13,2021-09-28,GP0000004,1.0,Shake available owner away drug.,RE00000004
MOV000199,Bunty Aur Babli (2005),GB,2021-09-10,2021-09-10,GP0000025,2.0,Everybody nature perform great summer without relate.,RE00000003
MOV000200,Buried,GB,2021-06-25,2021-07-12,GP0000001,1.5,Project various small product scene.,RE00000003
MOV000201,Burn After Reading,GB,2021-08-30,2021-09-04,GP0000018,1.0,Rather campaign thus.,RE00000004
MOV000202,Burnt Offerings,GB,2021-09-06,2021-09-28,GP0000002,2.0,World particular article wrong small bit also right.,RE00000001
MOV000203,Burying the Ex,GB,2021-06-26,2021-07-22,GP0000011,1.5,Sometimes tonight least.,RE00000003
MOV000204,Cabin Fever,GB,2021-10-21,2021-11-04,GP0000022,1.75,Particular item without spend.,RE00000003
MOV000205,Cabin Fever 2,GB,2021-10-31,2021-11-24,GP0000014,1.75,Relationship difficult movement trouble chair early.,RE00000002
MOV000206,"Cabin in the Woods, The",GB,2021-02-14,2021-03-02,GP0000015,1.0,Collection around throw class these.,RE00000002
MOV000207,"Cabinet of Dr. Caligari, The",GB,2021-10-16,2021-11-08,GP0000016,1.0,Technology project share.,RE00000004
MOV000208,Cache,GB,2021-02-16,2021-02-19,GP0000021,1.75,Seek compare them bad not economic join middle.,RE00000004
MOV000209,Calvaire,GB,2021-09-07,2021-10-04,GP0000021,1.5,Series seat now someone fire stock.,RE00000003
MOV000210,Calvary,GB,2021-08-20,2021-09-10,GP0000020,1.75,Address value officer.,RE00000003
MOV000211,Cam,GB,2021-02-01,2021-02-13,GP0000005,1.5,Heart well every pick school girl.,RE00000004
MOV000212,Candyman,GB,2021-04-20,2021-05-01,GP0000016,1.75,Political push development write mother call her candidate.,RE00000002
MOV000213,Cannibal Holocaust,GB,2021-05-29,2021-06-19,GP0000022,1.75,Film whether stop artist moment land young.,RE00000003
MOV000214,Casino Royale,GB,2021-04-13,2021-04-25,GP0000017,1.0,Officer up they development per security color.,RE00000003
MOV000215,Catch 22,GB,2021-12-08,2021-12-21,GP0000021,1.75,Couple discover maybe box indeed stock across.,RE00000003
MOV000216,Catfish,GB,2021-01-08,2021-01-15,GP0000012,2.0,Brother no body list action others administration.,RE00000003
MOV000217,Cecil B Demented,GB,2021-10-23,2021-11-12,GP0000020,2.0,Travel design return without turn.,RE00000004
MOV000218,"Celebration, The",GB,2021-10-12,2021-11-09,GP0000024,1.5,Interest again ability health safe movie.,RE00000004
MOV000219,"Cell, The",GB,2021-10-06,2021-10-15,GP0000016,1.0,They water and issue.,RE00000002
MOV000220,Cemetery Junction,GB,2021-10-21,2021-10-30,GP0000025,2.0,Throughout fear scene call indeed prove soon sign.,RE00000001
MOV000221,Cemetery Man,GB,2021-10-23,2021-11-03,GP0000020,1.75,Him source interesting.,RE00000003
MOV000222,Centurion,GB,2021-02-19,2021-03-15,GP0000021,1.0,Class news seven natural sign act.,RE00000004
MOV000223,Chak De! India (2007),GB,2021-11-25,2021-12-14,GP0000016,1.5,Good about authority study agent.,RE00000002
MOV000224,Chan is Missing,GB,2021-11-12,2021-12-03,GP0000005,1.0,Her natural feel art field themselves air.,RE00000001
MOV000225,Chandni (1989),GB,2021-07-07,2021-07-11,GP0000010,2.0,Government alone positive offer news.,RE00000004
MOV000226,"Changeling, The",GB,2021-06-15,2021-06-21,GP0000003,1.0,Indeed arm goal focus detail likely third.,RE00000002
MOV000227,Charley Varrick,GB,2021-06-21,2021-07-15,GP0000001,2.0,Soon tree every anyone.,RE00000001
MOV000228,Chasing Amy,GB,2021-09-23,2021-10-17,GP0000024,1.0,My market game leader so shake official.,RE00000004
MOV000229,Chelsea Girls,GB,2021-04-18,2021-04-24,GP0000024,1.0,Office point whether weight mention be clearly.,RE00000003
MOV000230,Chhoti Si Baat (1975),GB,2021-08-21,2021-08-30,GP0000023,1.75,Design method field maybe grow eye little.,RE00000004
MOV000231,Child's Play (Chucky Series),GB,2021-01-12,2021-01-24,GP0000013,1.5,Record statement owner economic.,RE00000003
