id,nivel_permiso
CL0000900,superusuario
CL0000901,megausuario
CL0000902,superusuario
CL0000903,superusuario
CL0000904,megausuario
CL0000905,superusuario
CL0000906,megausuario
CL0000907,megausuario
CL0000908,superusuario
CL0000909,megausuario
CL0000910,megausuario
CL0000911,superusuario
CL0000912,megausuario
CL0000913,superusuario
CL0000914,superusuario
CL0000915,megausuario
CL0000916,superusuario
CL0000917,superusuario
CL0000918,megausuario
CL0000919,megausuario
CL0000920,megausuario
CL0000921,superusuario
CL0000922,superusuario
CL0000923,megausuario
CL0000924,superusuario
CL0000925,superusuario
CL0000926,superusuario
CL0000927,megausuario
CL0000928,megausuario
CL0000929,megausuario
CL0000930,megausuario
CL0000931,megausuario
CL0000932,superusuario
CL0000933,superusuario
CL0000934,superusuario
CL0000935,megausuario
CL0000936,superusuario
CL0000937,megausuario
CL0000938,megausuario
CL0000939,superusuario
CL0000940,megausuario
CL0000941,superusuario
CL0000942,megausuario
CL0000943,megausuario
CL0000944,superusuario
CL0000945,megausuario
CL0000946,superusuario
CL0000947,megausuario
CL0000948,megausuario
CL0000949,superusuario
CL0000950,superusuario
CL0000951,superusuario
CL0000952,superusuario
CL0000953,superusuario
CL0000954,superusuario
CL0000955,superusuario
CL0000956,superusuario
CL0000957,superusuario
CL0000958,superusuario
CL0000959,superusuario
CL0000960,megausuario
CL0000961,megausuario
CL0000962,superusuario
CL0000963,megausuario
CL0000964,megausuario
CL0000965,superusuario
CL0000966,superusuario
CL0000967,megausuario
CL0000968,superusuario
CL0000969,superusuario
CL0000970,megausuario
CL0000971,megausuario
CL0000972,megausuario
CL0000973,megausuario
CL0000974,superusuario
CL0000975,superusuario
CL0000976,superusuario
CL0000977,megausuario
CL0000978,megausuario
CL0000979,megausuario
CL0000980,superusuario
CL0000981,megausuario
CL0000982,superusuario
CL0000983,megausuario
CL0000984,megausuario
CL0000985,megausuario
CL0000986,megausuario
CL0000987,superusuario
CL0000988,superusuario
CL0000989,superusuario
CL0000990,superusuario
CL0000991,superusuario
CL0000992,megausuario
CL0000993,megausuario
CL0000994,superusuario
CL0000995,superusuario
CL0000996,superusuario
CL0000997,superusuario
CL0000998,megausuario
CL0000999,megausuario
CL0001000,superusuario
CL0001001,megausuario
CL0001002,superusuario
CL0001003,superusuario
CL0001004,superusuario
CL0001005,megausuario
CL0001006,megausuario
CL0001007,megausuario
CL0001008,superusuario
CL0001009,megausuario
CL0001010,superusuario
CL0001011,megausuario
CL0001012,megausuario
CL0001013,megausuario
CL0001014,superusuario
CL0001015,megausuario
CL0001016,superusuario
CL0001017,megausuario
CL0001018,superusuario
CL0001019,megausuario
CL0001020,superusuario
CL0001021,megausuario
CL0001022,megausuario
CL0001023,superusuario
CL0001024,superusuario
CL0001025,superusuario
CL0001026,megausuario
CL0001027,superusuario
CL0001028,megausuario
CL0001029,megausuario
CL0001030,superusuario
CL0001031,megausuario
CL0001032,megausuario
CL0001033,superusuario
CL0001034,superusuario
CL0001035,superusuario
CL0001036,megausuario
CL0001037,superusuario
CL0001038,megausuario
CL0001039,superusuario
CL0001040,superusuario
CL0001041,superusuario
CL0001042,superusuario
CL0001043,superusuario
CL0001044,superusuario
CL0001045,superusuario
CL0001046,superusuario
CL0001047,superusuario
CL0001048,superusuario
CL0001049,megausuario
CL0001050,megausuario
CL0001051,megausuario
CL0001052,megausuario
CL0001053,superusuario
CL0001054,superusuario
CL0001055,megausuario
CL0001056,superusuario
CL0001057,superusuario
CL0001058,superusuario
CL0001059,megausuario
CL0001060,megausuario
CL0001061,megausuario
CL0001062,superusuario
CL0001063,superusuario
CL0001064,superusuario
CL0001065,megausuario
CL0001066,megausuario
CL0001067,superusuario
CL0001068,superusuario
CL0001069,superusuario
CL0001070,megausuario
CL0001071,superusuario
CL0001072,megausuario
CL0001073,megausuario
CL0001074,superusuario
CL0001075,megausuario
CL0001076,superusuario
CL0001077,superusuario
CL0001078,superusuario
CL0001079,superusuario
CL0001080,megausuario
CL0001081,megausuario
CL0001082,superusuario
CL0001083,superusuario
CL0001084,megausuario
CL0001085,superusuario
CL0001086,superusuario
CL0001087,superusuario
CL0001088,superusuario
CL0001089,megausuario
CL0001090,megausuario
CL0001091,superusuario
CL0001092,superusuario
CL0001093,megausuario
CL0001094,megausuario
CL0001095,superusuario
CL0001096,superusuario
CL0001097,superusuario
CL0001098,superusuario
CL0001099,superusuario
CL0001100,superusuario
CL0001101,megausuario
CL0001102,superusuario
CL0001103,megausuario
CL0001104,megausuario
CL0001105,megausuario
CL0001106,superusuario
CL0001107,superusuario
CL0001108,megausuario
CL0001109,megausuario
CL0001110,superusuario
CL0001111,superusuario
CL0001112,megausuario
CL0001113,megausuario
CL0001114,superusuario
CL0001115,megausuario
CL0001116,superusuario
CL0001117,megausuario
CL0001118,superusuario
CL0001119,megausuario
CL0001120,megausuario
CL0001121,superusuario
CL0001122,superusuario
CL0001123,megausuario
CL0001124,megausuario
CL0001125,superusuario
CL0001126,megausuario
CL0001127,megausuario
CL0001128,megausuario
CL0001129,superusuario
CL0001130,superusuario
CL0001131,superusuario
CL0001132,megausuario
CL0001133,superusuario
CL0001134,superusuario
CL0001135,superusuario
CL0001136,superusuario
CL0001137,megausuario
CL0001138,superusuario
CL0001139,superusuario
CL0001140,superusuario
CL0001141,superusuario
CL0001142,megausuario
CL0001143,superusuario
CL0001144,megausuario
CL0001145,superusuario
CL0001146,superusuario
CL0001147,megausuario
CL0001148,megausuario
CL0001149,megausuario
CL0001150,superusuario
CL0001151,superusuario
CL0001152,superusuario
CL0001153,megausuario
CL0001154,megausuario
CL0001155,megausuario
CL0001156,superusuario
CL0001157,superusuario
CL0001158,superusuario
CL0001159,megausuario
CL0001160,megausuario
CL0001161,megausuario
CL0001162,megausuario
CL0001163,megausuario
CL0001164,megausuario
CL0001165,superusuario
CL0001166,megausuario
CL0001167,superusuario
CL0001168,megausuario
CL0001169,superusuario
CL0001170,megausuario
CL0001171,superusuario
CL0001172,megausuario
CL0001173,megausuario
CL0001174,superusuario
CL0001175,megausuario
CL0001176,superusuario
CL0001177,megausuario
CL0001178,megausuario
CL0001179,superusuario
CL0001180,megausuario
CL0001181,megausuario
CL0001182,superusuario
CL0001183,megausuario
CL0001184,megausuario
CL0001185,superusuario
CL0001186,megausuario
CL0001187,superusuario
CL0001188,superusuario
CL0001189,superusuario
CL0001190,superusuario
CL0001191,superusuario
CL0001192,megausuario
CL0001193,superusuario
CL0001194,megausuario
CL0001195,superusuario
CL0001196,megausuario
CL0001197,megausuario
CL0001198,superusuario
CL0001199,megausuario
CL0001200,superusuario
CL0001201,superusuario
CL0001202,megausuario
CL0001203,megausuario
CL0001204,superusuario
CL0001205,superusuario
CL0001206,superusuario
CL0001207,megausuario
CL0001208,megausuario
CL0001209,megausuario
CL0001210,superusuario
CL0001211,superusuario
CL0001212,megausuario
CL0001213,superusuario
CL0001214,superusuario
CL0001215,superusuario
CL0001216,superusuario
CL0001217,megausuario
CL0001218,megausuario
CL0001219,megausuario
CL0001220,megausuario
CL0001221,megausuario
CL0001222,superusuario
CL0001223,superusuario
CL0001224,superusuario
CL0001225,megausuario
CL0001226,superusuario
CL0001227,megausuario
CL0001228,megausuario
CL0001229,superusuario
CL0001230,megausuario
CL0001231,superusuario
CL0001232,megausuario
CL0001233,megausuario
CL0001234,megausuario
CL0001235,megausuario
CL0001236,superusuario
CL0001237,megausuario
CL0001238,megausuario
CL0001239,megausuario
CL0001240,megausuario
CL0001241,megausuario
CL0001242,megausuario
CL0001243,superusuario
CL0001244,megausuario
CL0001245,superusuario
CL0001246,megausuario
CL0001247,megausuario
CL0001248,superusuario
CL0001249,megausuario
CL0001250,superusuario
CL0001251,megausuario
CL0001252,superusuario
CL0001253,megausuario
CL0001254,megausuario
CL0001255,megausuario
CL0001256,megausuario
CL0001257,megausuario
CL0001258,superusuario
CL0001259,megausuario
CL0001260,megausuario
CL0001261,megausuario
CL0001262,superusuario
CL0001263,megausuario
CL0001264,superusuario
CL0001265,megausuario
CL0001266,megausuario
CL0001267,megausuario
CL0001268,superusuario
CL0001269,superusuario
CL0001270,superusuario
