funcion_id,sala_id,pelicula_id,fecha,hora
FUN000279,SL0066409,MOV000031,2021-09-12,06:34:05
FUN000280,SL0076403,MOV000050,2021-12-20,19:23:21
FUN000281,SL0011024,MOV001297,2021-06-30,14:11:47
FUN000282,SL0052827,MOV000790,2021-09-23,00:14:08
FUN000283,SL0052164,MOV000284,2021-10-05,18:27:07
FUN000284,SL0002444,MOV001248,2021-06-18,21:32:06
FUN000285,SL0052290,MOV000737,2021-07-16,13:10:30
FUN000286,SL0067986,MOV000566,2021-11-02,18:07:37
FUN000287,SL0046830,MOV000340,2021-11-23,18:38:42
FUN000288,SL0032125,MOV001144,2021-11-29,01:08:31
FUN000289,SL0033495,MOV000045,2022-01-10,02:27:27
FUN000290,SL0056675,MOV001033,2022-01-09,17:39:42
FUN000291,SL0031516,MOV000030,2021-07-21,18:01:09
FUN000292,SL0060395,MOV000069,2021-12-26,08:27:45
FUN000293,SL0043249,MOV001170,2021-08-23,19:52:52
FUN000294,SL0070291,MOV000708,2022-01-03,11:50:44
FUN000295,SL0057739,MOV000552,2021-12-08,17:23:08
FUN000296,SL0062451,MOV000926,2021-07-30,22:54:51
FUN000297,SL0040862,MOV000188,2021-05-14,23:39:48
FUN000298,SL0007696,MOV000697,2021-09-06,06:20:51
FUN000299,SL0062980,MOV000095,2021-09-15,19:08:24
FUN000300,SL0059654,MOV001415,2021-11-18,11:45:34
FUN000301,SL0001542,MOV000568,2021-12-29,12:56:10
FUN000302,SL0047531,MOV000230,2021-08-05,09:21:26
FUN000303,SL0031871,MOV000742,2021-10-10,06:18:38
FUN000304,SL0036716,MOV000887,2021-12-24,20:33:58
FUN000305,SL0058853,MOV001060,2022-01-01,14:59:05
FUN000306,SL0045673,MOV001020,2021-09-20,10:54:56
FUN000307,SL0029694,MOV000232,2021-08-27,21:13:37
FUN000308,SL0036934,MOV001182,2021-12-13,17:35:21
FUN000309,SL0041854,MOV000457,2021-10-29,04:31:39
FUN000310,SL0030884,MOV001054,2021-10-10,17:15:30
FUN000311,SL0007502,MOV000566,2021-10-19,11:45:55
FUN000312,SL0035315,MOV000440,2021-10-22,21:44:29
FUN000313,SL0072823,MOV000820,2022-01-01,01:18:27
FUN000314,SL0061124,MOV000295,2021-11-21,20:14:28
FUN000315,SL0061215,MOV000486,2021-11-22,00:09:45
FUN000316,SL0032138,MOV000066,2021-07-24,03:18:48
FUN000317,SL0038615,MOV001290,2021-06-28,02:34:59
FUN000318,SL0046428,MOV000449,2022-01-01,06:54:17
FUN000319,SL0055185,MOV001105,2021-11-29,08:51:07
FUN000320,SL0008396,MOV000735,2021-12-07,07:28:13
FUN000321,SL0034827,MOV001306,2021-03-07,08:36:48
FUN000322,SL0006170,MOV001317,2022-01-04,21:44:32
FUN000323,SL0050490,MOV000290,2021-08-28,03:29:23
FUN000324,SL0063931,MOV000740,2022-01-09,20:56:38
FUN000325,SL0010181,MOV001405,2021-12-21,16:59:23
FUN000326,SL0059969,MOV000626,2022-01-09,10:25:01
FUN000327,SL0020078,MOV001090,2021-12-31,22:16:22
FUN000328,SL0068948,MOV000679,2021-07-06,20:44:21
FUN000329,SL0016092,MOV001307,2022-01-04,16:57:24
FUN000330,SL0000591,MOV000968,2021-07-15,22:50:26
FUN000331,SL0072602,MOV000407,2021-08-29,03:00:50
FUN000332,SL0025254,MOV000685,2021-12-04,11:24:11
FUN000333,SL0075414,MOV001203,2021-09-30,13:30:49
FUN000334,SL0038019,MOV000502,2021-09-23,18:45:23
FUN000335,SL0070839,MOV000543,2021-11-05,20:31:39
FUN000336,SL0046413,MOV000984,2021-12-17,06:21:32
FUN000337,SL0047909,MOV000145,2021-12-27,10:19:35
FUN000338,SL0060094,MOV001410,2021-06-02,06:37:21
FUN000339,SL0038239,MOV000624,2021-11-13,21:07:13
FUN000340,SL0030795,MOV001278,2021-12-29,07:56:31
FUN000341,SL0076540,MOV000617,2021-07-15,17:28:37
FUN000342,SL0038371,MOV001364,2021-11-07,15:41:13
FUN000343,SL0047922,MOV000390,2021-11-11,11:31:20
FUN000344,SL0075716,MOV001176,2021-08-01,14:27:06
FUN000345,SL0033002,MOV000013,2021-11-05,01:47:35
FUN000346,SL0059161,MOV001205,2021-08-04,13:10:50
FUN000347,SL0014571,MOV000382,2021-04-15,03:32:53
FUN000348,SL0024098,MOV000598,2021-12-26,18:53:46
FUN000349,SL0024950,MOV001163,2021-07-15,14:27:25
FUN000350,SL0018876,MOV000820,2021-12-12,06:39:00
FUN000351,SL0028938,MOV001090,2021-12-27,02:33:15
FUN000352,SL0056040,MOV000766,2021-08-09,23:56:34
FUN000353,SL0048896,MOV001328,2021-12-28,18:20:53
FUN000354,SL0012460,MOV000383,2021-04-11,12:31:59
FUN000355,SL0061445,MOV000355,2021-11-29,02:41:10
FUN000356,SL0050575,MOV001398,2021-12-13,21:34:14
FUN000357,SL0071948,MOV000735,2022-01-06,20:01:25
FUN000358,SL0051773,MOV000320,2021-08-27,18:31:07
FUN000359,SL0025498,MOV000393,2022-01-09,09:03:38
FUN000360,SL0054069,MOV000404,2021-12-04,17:06:23
FUN000361,SL0004687,MOV000406,2022-01-07,08:13:30
FUN000362,SL0021649,MOV000467,2021-12-08,19:45:50
FUN000363,SL0017993,MOV000935,2021-11-20,02:12:50
FUN000364,SL0049047,MOV000524,2021-06-29,23:06:36
FUN000365,SL0061247,MOV000888,2021-09-11,06:12:26
FUN000366,SL0045675,MOV000921,2021-10-04,14:26:37
FUN000367,SL0048121,MOV000340,2022-01-09,02:19:30
FUN000368,SL0009541,MOV001218,2021-10-18,11:46:03
FUN000369,SL0009826,MOV001052,2021-10-15,04:00:19
FUN000370,SL0028699,MOV000556,2021-12-30,22:32:08
FUN000371,SL0005899,MOV001262,2021-11-26,23:49:08
FUN000372,SL0065266,MOV000348,2022-01-09,03:08:44
FUN000373,SL0072195,MOV001105,2021-10-12,05:04:29
FUN000374,SL0066317,MOV000139,2021-12-17,15:18:28
FUN000375,SL0018156,MOV000573,2021-10-20,05:23:57
FUN000376,SL0023205,MOV001020,2021-08-09,19:15:09
FUN000377,SL0004391,MOV001026,2021-10-17,22:24:04
FUN000378,SL0033178,MOV000264,2021-08-07,00:17:59
FUN000379,SL0026444,MOV001191,2021-05-22,00:30:48
FUN000380,SL0003813,MOV000140,2021-11-20,07:25:33
FUN000381,SL0068785,MOV000882,2021-11-21,03:37:39
FUN000382,SL0070440,MOV000733,2021-10-22,12:41:01
FUN000383,SL0053643,MOV000082,2022-01-07,08:04:49
FUN000384,SL0038662,MOV001160,2021-08-16,07:53:11
FUN000385,SL0004521,MOV001136,2021-11-03,04:51:23
FUN000386,SL0008708,MOV000841,2021-11-22,03:57:20
FUN000387,SL0025058,MOV000440,2021-09-18,07:23:04
FUN000388,SL0054973,MOV001124,2021-12-31,06:09:30
FUN000389,SL0043407,MOV001048,2021-10-12,04:17:25
FUN000390,SL0009178,MOV000994,2021-11-07,09:50:43
FUN000391,SL0015584,MOV001073,2022-01-01,04:00:10
FUN000392,SL0049118,MOV000585,2021-11-18,18:32:54
FUN000393,SL0054540,MOV000535,2021-11-10,23:39:14
FUN000394,SL0017771,MOV000165,2021-10-18,02:48:58
FUN000395,SL0002049,MOV000564,2021-07-27,16:59:23
FUN000396,SL0062758,MOV000178,2021-07-09,13:50:53
FUN000397,SL0059524,MOV000876,2022-01-10,18:44:05
FUN000398,SL0065514,MOV001292,2021-02-09,15:08:57
FUN000399,SL0047311,MOV000442,2021-12-01,23:43:32
FUN000400,SL0064026,MOV001020,2021-07-26,03:10:00
FUN000401,SL0019847,MOV000448,2022-01-09,15:31:39
FUN000402,SL0009114,MOV001166,2021-08-21,11:53:04
FUN000403,SL0071029,MOV001119,2021-11-10,22:10:38
FUN000404,SL0056190,MOV001430,2021-11-03,04:13:45
FUN000405,SL0058737,MOV001015,2021-12-11,23:57:47
FUN000406,SL0003788,MOV000263,2021-09-17,13:21:36
FUN000407,SL0072909,MOV000777,2021-07-18,00:18:25
FUN000408,SL0063070,MOV000216,2021-06-06,20:49:56
FUN000409,SL0055613,MOV000261,2021-12-31,03:39:26
FUN000410,SL0052391,MOV000899,2021-11-07,15:52:33
FUN000411,SL0053564,MOV000752,2021-12-21,23:35:21
FUN000412,SL0028764,MOV000607,2021-09-01,13:44:26
FUN000413,SL0053590,MOV000382,2021-09-01,10:53:41
FUN000414,SL0070154,MOV000121,2021-12-09,09:15:30
FUN000415,SL0029649,MOV000390,2021-08-03,00:41:22
FUN000416,SL0050697,MOV001381,2021-10-02,03:37:40
FUN000417,SL0045077,MOV000724,2022-01-03,19:00:44
FUN000418,SL0010393,MOV001360,2021-10-05,14:58:30
FUN000419,SL0012174,MOV001298,2021-10-03,14:19:07
FUN000420,SL0037597,MOV001081,2021-12-07,12:25:22
FUN000421,SL0017043,MOV001172,2021-12-07,07:37:23
FUN000422,SL0026593,MOV000078,2021-02-27,00:54:14
FUN000423,SL0035674,MOV000017,2021-12-26,22:49:59
FUN000424,SL0064266,MOV000303,2021-08-18,12:56:11
FUN000425,SL0043422,MOV001288,2021-12-22,08:37:27
FUN000426,SL0006828,MOV000962,2022-01-03,16:45:50
FUN000427,SL0037922,MOV000021,2021-10-05,20:58:46
FUN000428,SL0035764,MOV000073,2021-08-09,14:22:31
FUN000429,SL0056594,MOV001035,2022-01-04,17:05:02
FUN000430,SL0034216,MOV001392,2021-07-29,03:26:05
FUN000431,SL0029223,MOV000883,2021-12-30,18:22:19
FUN000432,SL0041561,MOV000120,2021-11-22,09:09:33
FUN000433,SL0039099,MOV001136,2021-09-06,17:53:48
FUN000434,SL0076067,MOV001189,2021-06-19,22:52:07
FUN000435,SL0030674,MOV001264,2021-10-01,03:10:06
FUN000436,SL0050264,MOV000254,2021-08-22,03:05:56
FUN000437,SL0009042,MOV000567,2022-01-01,06:27:54
FUN000438,SL0013544,MOV000517,2021-12-15,11:47:20
FUN000439,SL0062593,MOV001338,2021-12-30,07:20:23
FUN000440,SL0042735,MOV000163,2021-10-01,06:59:17
FUN000441,SL0048139,MOV000497,2021-12-09,00:46:21
FUN000442,SL0005524,MOV000701,2021-12-24,04:26:43
FUN000443,SL0042076,MOV000189,2021-07-10,12:22:35
FUN000444,SL0036903,MOV001329,2021-10-23,06:29:13
FUN000445,SL0013711,MOV000777,2021-12-12,16:59:22
FUN000446,SL0067135,MOV000198,2021-12-01,01:06:25
FUN000447,SL0046119,MOV001206,2021-12-25,21:54:48
FUN000448,SL0000922,MOV000768,2021-10-26,09:15:06
FUN000449,SL0047885,MOV001413,2021-12-04,05:00:29
FUN000450,SL0074849,MOV000826,2021-09-01,03:03:34
