id,nombre,direccion,departamento,distrito,n_salas
S00000180,Cinemania Junctions 180,64718 Hughes Lock,East Jacob,Kennedy Lane,8
S00000181,Cinemania Crest 181,8668 Lauren Views Suite 741,East Kathleenbury,Hooper Rue,8
S00000182,Cinemania Route 182,921 Simpson Springs Suite 475,Lake Donnamouth,Castillo Streets,8
S00000183,Cinemania Prairie 183,6352 Andrew Squares,East Jamesview,Amanda Mountain,8
S00000184,Cinemania Plains 184,4323 James Harbors,New Bryan,Day Street,10
S00000185,Cinemania Hills 185,820 Karen Glen,Port Dawnchester,Carlos Expressway,5
S00000186,Cinemania Row 186,79430 William Rapids Suite 072,New Amyhaven,Wells Causeway,10
S00000187,Cinemania Stravenue 187,909 Sean Greens,North Jose,Nicole Cliff,5
S00000188,Cinemania Avenue 188,4613 Brown Underpass,Dixonstad,Johnson Roads,8
S00000189,Cinemania Circles 189,3854 Brooks Burgs Suite 883,North Mary,Hamilton Oval,5
S00000190,Cinemania Rapid 190,33820 Jill Unions Suite 477,North Madisonport,Davis Hill,5
S00000191,Cinemania Expressway 191,7543 Green Turnpike,Annaton,Brown Drive,8
S00000192,Cinemania Shore 192,01465 Davis Viaduct,Abigailshire,Howard Shoals,8
S00000193,Cinemania Lock 193,5697 Erin Avenue Suite 180,Williamfurt,Vincent Forge,8
S00000194,Cinemania Rue 194,33133 Alan Harbors,Rojasborough,Ray Branch,8
S00000195,Cinemania Throughway 195,54319 Brown Extensions Apt. 852,Lake Melissaview,Hart Tunnel,8
S00000196,Cinemania Brook 196,84703 Smith Lodge Suite 654,North Aimeeberg,Lopez Cliff,8
S00000197,Cinemania Roads 197,409 James Green,Port Joshua,Romero Fork,8
S00000198,Cinemania Divide 198,89947 Michael Ford Suite 718,Kellermouth,Smith Spur,8
S00000199,Cinemania Trace 199,8915 Gregory Circles,Stacyfurt,Garcia Trace,10
S00000200,Cinemania Ville 200,600 Gordon Estates,East Jeremy,Olson Key,10
S00000201,Cinemania Underpass 201,360 Kathleen Expressway Suite 110,South Corey,Lisa Heights,10
S00000202,Cinemania Islands 202,11206 Villarreal Club Apt. 235,Lake Alicia,Jones Trafficway,10
S00000203,Cinemania Mall 203,4876 Amber Throughway,Timothymouth,Julie Track,8
S00000204,Cinemania Trafficway 204,795 Franklin Field Apt. 271,Lake Dorothy,Thomas Walks,5
S00000205,Cinemania Street 205,500 Lisa Ports Apt. 063,Danaland,Robin Circles,5
S00000206,Cinemania Shores 206,7321 Matthew Skyway,Port Andrewburgh,Green Grove,5
S00000207,Cinemania Harbor 207,44051 Ryan Burgs,New Debbieville,Griffith Inlet,10
S00000208,Cinemania Station 208,16224 Williams Forks Suite 082,Reynoldsfort,Davis Way,5
S00000209,Cinemania Streets 209,92764 Wilson Parkway Suite 115,North Roberttown,Logan Fields,8
S00000210,Cinemania Camp 210,418 William Mall,Katherineside,Clark Knoll,8
S00000211,Cinemania Cape 211,56946 Roberts Ports,Port Julie,Walls Walk,10
S00000212,Cinemania Loop 212,96753 Hayes Court,Lake Angela,Gonzalez Island,8
S00000213,Cinemania Grove 213,15882 Cook Loop,Port Krystalport,Jerry Via,10
S00000214,Cinemania Glens 214,7150 Thomas Trail,North Michael,Costa Lakes,8
S00000215,Cinemania Islands 215,3836 Figueroa Crossing,New Nancy,Kevin Junction,10
S00000216,Cinemania Village 216,22198 Gabriel Way,West Miranda,Molina Stravenue,10
S00000217,Cinemania Unions 217,143 Toni Isle,North Zacharychester,Choi Expressway,10
S00000218,Cinemania Points 218,876 Robertson Squares Apt. 224,Russellton,Morales Drive,5
S00000219,Cinemania Mountain 219,6004 Anderson Skyway Apt. 247,South Alexander,Joshua Dale,10
S00000220,Cinemania Greens 220,56809 Mcdowell Pines Suite 518,Katherinehaven,Andrew Roads,8
S00000221,Cinemania Forks 221,49243 Teresa Way,Khanmouth,Jennings Forest,8
S00000222,Cinemania Flat 222,629 Chelsea Circle Suite 125,Sanchezfurt,Robertson Port,5
S00000223,Cinemania Lodge 223,221 Michaela Mountains Apt. 808,West Williamstad,Moss Circles,10
S00000224,Cinemania Rest 224,17784 Cox Grove,Mossbury,Schneider Mountains,10
S00000225,Cinemania Track 225,620 Christina Heights,Javierville,Williams Station,8
S00000226,Cinemania Squares 226,91631 Silva Summit,West Melindaview,Paul Orchard,8
S00000227,Cinemania Islands 227,0897 Jackson Locks,North Erikton,Jose Unions,10
S00000228,Cinemania Terrace 228,4796 Rodriguez Orchard,East Ericaborough,John Drives,8
S00000229,Cinemania Falls 229,309 Sharp Union Apt. 104,North Danielleburgh,Hernandez Extension,10
S00000230,Cinemania Ramp 230,47644 Smith Ridges,Christopherstad,Morgan Forge,5
S00000231,Cinemania Glens 231,655 Tamara Extensions Suite 075,Port Mark,Browning Locks,8
S00000232,Cinemania Underpass 232,14086 Clark Mission,Stacyton,Patricia Squares,5
S00000233,Cinemania Hills 233,701 Bryan Junctions,Lake Jamesport,Short Heights,5
S00000234,Cinemania Lock 234,13549 Kelly Oval Apt. 881,Hernandezmouth,Victoria Canyon,5
S00000235,Cinemania Lane 235,40860 Andrea Rue Suite 097,Karashire,Reyes Crest,10
S00000236,Cinemania Fields 236,3658 Sara Bridge,Harrisfort,Williams Track,10
S00000237,Cinemania Club 237,561 Walker Village,Nicholasbury,James Street,8
S00000238,Cinemania Green 238,3621 David Plains Suite 097,East Stevenville,Sanchez Drives,10
S00000239,Cinemania Haven 239,52336 David Squares,Gordonbury,David Mission,8
S00000240,Cinemania Tunnel 240,93764 Jeremy Walks,Churchstad,William Fields,8
S00000241,Cinemania Crossroad 241,817 Miller Locks Suite 862,Evansmouth,Wong Trace,10
S00000242,Cinemania Locks 242,04312 Julie Run Suite 380,Victoriaborough,York Viaduct,8
S00000243,Cinemania Bridge 243,2784 Archer Haven Apt. 696,West Jamie,Gerald Estates,5
S00000244,Cinemania Trail 244,5751 Danielle Vista Apt. 308,Sheliamouth,Martinez Squares,8
S00000245,Cinemania Ville 245,00286 White Pine,Simonberg,Brenda Green,10
S00000246,Cinemania Cape 246,8255 Wilson Stravenue,Mariaburgh,Herring Port,5
S00000247,Cinemania Centers 247,11118 Long Roads,Lake Nicole,Greene Flats,5
S00000248,Cinemania Hill 248,6933 Christopher Locks,West Travis,Amy Drives,5
S00000249,Cinemania Ferry 249,9994 Lozano Canyon,Adamstown,Jody Light,8
S00000250,Cinemania Road 250,1266 Brandon Park,South Tracyville,Adams Island,8
S00000251,Cinemania Unions 251,127 Osborne Rue,Jerryshire,Cannon Street,8
S00000252,Cinemania Spur 252,586 Davis Freeway Suite 021,Karinamouth,Mark Brooks,5
S00000253,Cinemania Rapid 253,99548 Bell Mountain Suite 627,Port Michaelhaven,Gutierrez Dam,10
S00000254,Cinemania Mission 254,072 Zachary Heights Apt. 961,Port Ericchester,Thomas Stravenue,5
S00000255,Cinemania Rapid 255,5018 Erik Shores Apt. 320,Port Jeremiah,Wright Forks,5
S00000256,Cinemania Trace 256,500 Jason Coves,Port Susanton,Ashley Vista,10
S00000257,Cinemania Lodge 257,5110 White Spur,Bushburgh,Sherman Mill,8
S00000258,Cinemania Spurs 258,2512 Anna Stream,Mitchelltown,Jones Shoal,5
S00000259,Cinemania Divide 259,45637 Cody Cliff,Goodshire,Chad Station,8
S00000260,Cinemania Row 260,667 Jacqueline Islands,North Randyland,Lynn Spurs,10
S00000261,Cinemania Drive 261,52238 Jay Manors Apt. 809,Ayalahaven,Brittany Fork,10
S00000262,Cinemania Island 262,786 Linda Locks Apt. 965,Manuelhaven,Gregory Place,10
S00000263,Cinemania Courts 263,241 Dixon Key,New Brittany,Gomez Camp,5
S00000264,Cinemania Lodge 264,74181 Jeanne Underpass Apt. 276,New Samanthachester,Maria Lakes,5
S00000265,Cinemania Springs 265,806 Patton Keys Apt. 835,New Keith,Perez Drive,8
S00000266,Cinemania Squares 266,905 Morgan Roads Suite 990,New Ianside,Hill Inlet,10
S00000267,Cinemania Heights 267,36132 Alyssa Freeway,Deleonfurt,Kara Port,8
S00000268,Cinemania Parks 268,295 Jeffrey Mountain Apt. 289,Tinaborough,Zachary Rapid,8
S00000269,Cinemania Manor 269,0602 Lisa Prairie Apt. 265,Scottstad,Dudley Stream,8
S00000270,Cinemania Station 270,143 Bennett Glens,East Julieside,Jacqueline Street,5
S00000271,Cinemania Walk 271,74842 Nichols View,Isaacmouth,Brenda Hollow,8
S00000272,Cinemania Lodge 272,767 Olson Ports Suite 630,Lake Jesus,Becker Garden,5
S00000273,Cinemania Plaza 273,7710 Danielle Brooks Apt. 932,New Robertfort,Richard Islands,10
S00000274,Cinemania Crest 274,8373 Joseph Haven Apt. 155,Hortonberg,Wilkinson Plain,5
S00000275,Cinemania Streets 275,55861 Jones Fork,Michaelhaven,Melody Wells,5
S00000276,Cinemania Squares 276,033 Martin Cliffs Suite 170,Lake Brianview,Davenport Creek,8
S00000277,Cinemania Road 277,5936 George Valley Apt. 742,Davidsonside,Leslie Summit,8
S00000278,Cinemania Highway 278,438 Murphy Harbor,West Matthew,Rita Grove,10
S00000279,Cinemania Union 279,059 Gary Creek Suite 304,Zacharyfurt,Samantha Tunnel,10
S00000280,Cinemania Village 280,775 Nathan Station Apt. 538,North Craigmouth,Moreno Divide,10
S00000281,Cinemania Ferry 281,6733 Butler Station,Stephaniemouth,Moore Common,8
S00000282,Cinemania Forks 282,006 Mary Parkways Suite 604,West Sheriborough,Susan Gateway,8
S00000283,Cinemania Knoll 283,1184 Monica Villages Suite 777,Amandafort,Brian Plain,5
S00000284,Cinemania Brook 284,8791 Wells Underpass,New Kimberlyview,Sullivan Squares,8
S00000285,Cinemania Cliff 285,342 Webb Port,Gabrielastad,Schultz Cove,10
S00000286,Cinemania Ford 286,593 Perez Tunnel Suite 384,North Jefferyhaven,Stevens Shores,8
S00000287,Cinemania Mount 287,7234 Matthew Creek Suite 118,Gonzalesside,Griffin Loaf,10
S00000288,Cinemania Viaduct 288,708 Sims Branch,Roblesside,Lamb Street,10
S00000289,Cinemania Crossing 289,72862 Lindsey Lights Apt. 929,Milestown,Bell Isle,10
S00000290,Cinemania Ranch 290,511 Smith Mountains,Angelbury,Richard Junction,5
S00000291,Cinemania Unions 291,78959 Aaron Roads,Lozanomouth,Leonard Pike,10
S00000292,Cinemania Groves 292,9001 Nicole Bypass,Port Amanda,Spencer Cape,10
S00000293,Cinemania Mills 293,708 Robert Springs Apt. 825,West Pamelaton,Tyler Prairie,8
S00000294,Cinemania Cove 294,0614 Gay Fields Suite 420,Stevenstad,David Alley,5
S00000295,Cinemania Path 295,5596 King Cliffs,Starkmouth,Lawrence Pines,10
S00000296,Cinemania Valleys 296,4899 Hill Track Suite 296,Lake Stephanie,Miller Points,8
S00000297,Cinemania Cape 297,33080 Edward Roads Suite 185,Wallacestad,Dylan Landing,10
S00000298,Cinemania Lakes 298,057 Craig Fork,Angelaville,Hunt Landing,10
S00000299,Cinemania Plains 299,53850 Anne Mountain,Conleyshire,Tina Light,8
S00000300,Cinemania Flat 300,79118 Richardson Branch,Port Susan,Reed Islands,10
S00000301,Cinemania Meadows 301,955 Robinson Squares,Joannmouth,Wood Lakes,8
S00000302,Cinemania Loaf 302,350 Kimberly Mews,Evansmouth,Kara Lakes,10
