butaca_id,ventaentrada_id,funcion_id,nro_fila,nro_columna,tipo_entrada,precio_entrada
BU0000318,EN0000101,FUN000707,T,16,niño,22.5
BU0000319,EN0000101,FUN000639,M,9,niño,22.5
BU0000320,EN0000102,FUN000429,M,14,niño,15.0
BU0000321,EN0000102,FUN000876,Q,16,adulto,10.0
BU0000322,EN0000102,FUN000408,K,18,niño,15.0
BU0000323,EN0000102,FUN000753,G,7,adulto,15.0
BU0000324,EN0000102,FUN000883,Y,4,adulto,15.0
BU0000325,EN0000103,FUN000276,G,12,niño,10.0
BU0000326,EN0000103,FUN000215,S,6,niño,30.0
BU0000327,EN0000104,FUN000209,B,1,adulto,10.0
BU0000328,EN0000104,FUN000648,O,6,adulto,15.0
BU0000329,EN0000105,FUN000773,B,4,niño,15.0
BU0000330,EN0000105,FUN000196,Q,16,niño,15.0
BU0000331,EN0000105,FUN000637,W,1,adulto,10.0
BU0000332,EN0000105,FUN000131,U,5,niño,15.0
BU0000333,EN0000106,FUN000123,H,20,adulto,15.0
BU0000334,EN0000106,FUN000065,I,9,adulto,15.0
BU0000335,EN0000106,FUN000797,I,8,adulto,10.0
BU0000336,EN0000107,FUN000336,U,17,adulto,15.0
BU0000337,EN0000107,FUN000039,R,18,niño,22.5
BU0000338,EN0000107,FUN000454,L,2,niño,30.0
BU0000339,EN0000107,FUN000174,H,1,adulto,22.5
BU0000340,EN0000108,FUN000122,L,20,adulto,15.0
BU0000341,EN0000109,FUN000700,X,12,niño,22.5
BU0000342,EN0000110,FUN000094,R,16,adulto,30.0
BU0000343,EN0000111,FUN000641,E,7,adulto,10.0
BU0000344,EN0000111,FUN000718,F,6,niño,30.0
BU0000345,EN0000111,FUN000754,B,13,adulto,15.0
BU0000346,EN0000111,FUN000338,J,9,niño,30.0
BU0000347,EN0000112,FUN000144,Y,3,adulto,30.0
BU0000348,EN0000112,FUN000845,O,1,niño,22.5
BU0000349,EN0000113,FUN000622,Y,16,adulto,15.0
BU0000350,EN0000113,FUN000807,J,2,adulto,15.0
BU0000351,EN0000113,FUN000359,O,19,adulto,30.0
BU0000352,EN0000114,FUN000258,P,10,adulto,15.0
BU0000353,EN0000114,FUN000693,L,3,niño,30.0
BU0000354,EN0000114,FUN000793,C,13,adulto,15.0
BU0000355,EN0000114,FUN000553,G,9,niño,10.0
BU0000356,EN0000115,FUN000210,B,1,adulto,10.0
BU0000357,EN0000115,FUN000400,D,6,adulto,10.0
BU0000358,EN0000115,FUN000046,Y,18,niño,30.0
BU0000359,EN0000115,FUN000455,Q,5,adulto,30.0
BU0000360,EN0000115,FUN000410,L,15,adulto,22.5
BU0000361,EN0000116,FUN000347,F,5,adulto,30.0
BU0000362,EN0000117,FUN000803,M,13,niño,22.5
BU0000363,EN0000117,FUN000354,R,10,niño,22.5
BU0000364,EN0000117,FUN000686,I,4,adulto,22.5
BU0000365,EN0000117,FUN000513,H,15,adulto,30.0
BU0000366,EN0000117,FUN000990,G,9,niño,10.0
BU0000367,EN0000118,FUN000741,C,17,adulto,10.0
BU0000368,EN0000118,FUN000260,C,15,niño,22.5
BU0000369,EN0000118,FUN000566,F,12,adulto,30.0
BU0000370,EN0000118,FUN000938,P,11,niño,22.5
BU0000371,EN0000119,FUN000508,L,11,adulto,15.0
BU0000372,EN0000119,FUN000005,I,11,niño,10.0
BU0000373,EN0000120,FUN000492,F,19,adulto,15.0
BU0000374,EN0000121,FUN000100,V,17,niño,10.0
BU0000375,EN0000121,FUN000382,J,4,niño,22.5
BU0000376,EN0000121,FUN000122,I,13,niño,22.5
BU0000377,EN0000121,FUN000888,Z,9,niño,10.0
BU0000378,EN0000121,FUN000966,F,13,adulto,15.0
BU0000379,EN0000122,FUN000831,Y,7,niño,15.0
BU0000380,EN0000122,FUN000786,E,16,adulto,15.0
BU0000381,EN0000122,FUN000978,R,4,adulto,10.0
BU0000382,EN0000122,FUN000392,I,12,niño,22.5
BU0000383,EN0000122,FUN000903,Q,18,adulto,22.5
BU0000384,EN0000123,FUN000195,C,10,niño,10.0
BU0000385,EN0000123,FUN000171,N,15,adulto,10.0
BU0000386,EN0000123,FUN000805,O,7,niño,15.0
BU0000387,EN0000123,FUN000701,T,4,niño,22.5
BU0000388,EN0000123,FUN000426,Z,19,niño,22.5
BU0000389,EN0000124,FUN000991,W,16,niño,10.0
BU0000390,EN0000124,FUN000939,G,7,niño,10.0
BU0000391,EN0000124,FUN000212,D,7,adulto,10.0
BU0000392,EN0000124,FUN000958,Z,7,niño,22.5
BU0000393,EN0000124,FUN000965,S,1,niño,22.5
BU0000394,EN0000125,FUN000889,U,19,niño,30.0
BU0000395,EN0000125,FUN000402,E,20,niño,10.0
BU0000396,EN0000125,FUN000606,G,7,adulto,15.0
BU0000397,EN0000125,FUN000118,P,4,adulto,22.5
BU0000398,EN0000125,FUN000999,T,13,adulto,10.0
BU0000399,EN0000126,FUN000372,Y,13,niño,30.0
BU0000400,EN0000126,FUN000840,U,4,niño,22.5
BU0000401,EN0000126,FUN000330,Z,11,niño,15.0
BU0000402,EN0000126,FUN000391,S,13,adulto,10.0
BU0000403,EN0000127,FUN000276,B,4,adulto,10.0
BU0000404,EN0000127,FUN000397,J,6,adulto,15.0
BU0000405,EN0000128,FUN000591,K,19,niño,30.0
BU0000406,EN0000129,FUN000355,H,16,niño,22.5
BU0000407,EN0000129,FUN000217,D,11,adulto,15.0
BU0000408,EN0000129,FUN000585,D,15,adulto,22.5
BU0000409,EN0000129,FUN000486,E,3,niño,10.0
BU0000410,EN0000130,FUN000128,Q,11,adulto,22.5
BU0000411,EN0000131,FUN000156,T,14,adulto,15.0
BU0000412,EN0000131,FUN000780,O,5,niño,15.0
BU0000413,EN0000132,FUN000707,V,13,adulto,15.0
BU0000414,EN0000133,FUN000215,S,11,adulto,15.0
BU0000415,EN0000133,FUN000306,O,11,adulto,10.0
BU0000416,EN0000133,FUN000217,I,3,adulto,10.0
BU0000417,EN0000134,FUN000504,U,20,niño,30.0
BU0000418,EN0000134,FUN000009,I,5,adulto,30.0
BU0000419,EN0000134,FUN000602,D,9,niño,15.0
BU0000420,EN0000134,FUN000460,C,13,niño,22.5
BU0000421,EN0000135,FUN000310,U,10,adulto,15.0
BU0000422,EN0000135,FUN000927,H,20,niño,22.5
BU0000423,EN0000136,FUN000600,W,12,adulto,10.0
BU0000424,EN0000136,FUN000190,L,20,niño,15.0
BU0000425,EN0000137,FUN000712,M,2,niño,30.0
BU0000426,EN0000137,FUN000931,S,6,adulto,10.0
BU0000427,EN0000138,FUN000887,D,12,niño,30.0
BU0000428,EN0000139,FUN000581,H,7,adulto,30.0
BU0000429,EN0000139,FUN000427,V,8,niño,30.0
BU0000430,EN0000139,FUN000544,G,11,adulto,22.5
BU0000431,EN0000139,FUN000043,P,3,adulto,22.5
BU0000432,EN0000140,FUN000416,G,11,adulto,30.0
BU0000433,EN0000140,FUN000185,C,10,adulto,30.0
BU0000434,EN0000140,FUN000918,G,11,adulto,22.5
BU0000435,EN0000140,FUN000025,N,2,niño,10.0
BU0000436,EN0000140,FUN000282,R,12,adulto,10.0
BU0000437,EN0000141,FUN000155,F,4,niño,30.0
BU0000438,EN0000141,FUN000278,O,16,niño,10.0
BU0000439,EN0000142,FUN000368,H,20,adulto,22.5
BU0000440,EN0000143,FUN000643,M,6,adulto,10.0
BU0000441,EN0000144,FUN000195,P,18,niño,30.0
BU0000442,EN0000145,FUN000823,G,6,niño,15.0
BU0000443,EN0000145,FUN000903,D,19,adulto,30.0
BU0000444,EN0000145,FUN000926,M,18,adulto,30.0
BU0000445,EN0000145,FUN000560,O,7,adulto,10.0
BU0000446,EN0000145,FUN000130,H,17,adulto,30.0
BU0000447,EN0000146,FUN000769,L,12,niño,15.0
BU0000448,EN0000146,FUN000627,J,2,adulto,10.0
BU0000449,EN0000146,FUN000588,V,12,niño,15.0
BU0000450,EN0000147,FUN000119,R,19,adulto,10.0
BU0000451,EN0000147,FUN000371,O,6,adulto,15.0
BU0000452,EN0000147,FUN000156,J,1,adulto,30.0
BU0000453,EN0000147,FUN000410,K,8,adulto,22.5
BU0000454,EN0000148,FUN000016,F,17,niño,10.0
BU0000455,EN0000148,FUN000271,Q,9,adulto,22.5
BU0000456,EN0000148,FUN000292,Y,9,adulto,22.5
BU0000457,EN0000148,FUN000282,W,5,adulto,30.0
BU0000458,EN0000149,FUN000453,P,18,niño,30.0
BU0000459,EN0000149,FUN000238,K,12,niño,30.0
BU0000460,EN0000150,FUN000377,B,18,adulto,22.5
BU0000461,EN0000150,FUN000302,S,20,niño,10.0
BU0000462,EN0000150,FUN000137,I,12,niño,15.0
BU0000463,EN0000150,FUN000614,E,15,adulto,15.0
BU0000464,EN0000150,FUN000670,R,1,niño,30.0
BU0000465,EN0000151,FUN000872,P,14,niño,10.0
BU0000466,EN0000152,FUN000081,S,17,niño,10.0
BU0000467,EN0000152,FUN000429,D,5,adulto,30.0
BU0000468,EN0000152,FUN000631,Y,20,niño,30.0
BU0000469,EN0000152,FUN000340,I,19,niño,30.0
BU0000470,EN0000152,FUN000115,D,5,niño,30.0
