id,nombre,descripcion,precio_venta
PR0000043,coconuts,ubulfesuxitzazxdqgpc,20
PR0000044,steak,roiirtuvoatduacaujza,11
PR0000045,okra,smqeuzewblfxpaearxvb,45
PR0000046,pesto,nlbflgvbiuqrwbevqdtf,10
PR0000047,lemon Peel,kmtwjtbjoutszurznygl,27
PR0000048,garlic,hklecufhvnhpgikdfsek,23
PR0000049,cottage cheese,xovwbspnxnwfauzmegvg,30
PR0000050,marmalade,kapgnlrydlzkhdqqzppl,16
PR0000051,snapper,pfzvwbfuxxdltweownco,12
PR0000052,rosemary,feymolhnimekmnzygzjn,46
PR0000053,barley,ariszjvynmbgyfpdhkel,36
PR0000054,tarragon,sspyhypbsmhjqtzdihpq,40
PR0000055,passion fruit,wcpsszhuyrdhqyrzhhnq,46
PR0000056,kumquats,wbscinpnoqothpauslcf,37
PR0000057,breadcrumbs,wrdxtyzhtahbwwjmfjfu,26
PR0000058,baking soda,doyokaoasiseblnbzyxj,15
PR0000059,sweet peppers,xtwwnqkxsrxwesgkxhlk,30
PR0000060,hot sauce,iaomhdifqqeccawgkyzx,42
PR0000061,tomato puree,muwbuxrhdxhleefojpvq,21
PR0000062,rice paper,pbrxfiuczmhhrxafcfnt,40
PR0000063,flounder,jqnkxxiveokkrpgenonj,33
PR0000064,cooking wine,uqrmtgbweivbtrmiogxd,11
PR0000065,vegemite,qvzirfwyoxokufhvfoil,10
PR0000066,ale,ppqtluoacvkgjedibyxu,21
PR0000067,pomegranates,negmqzckdcircngonykn,41
PR0000068,Worcestershire sauce,haformoeszkyqvepptof,35
PR0000069,Cappuccino Latte,dsntwnqnjuwxbuuvrspd,14
PR0000070,creme fraiche,ewwbgyiaijeogxnabync,36
PR0000071,tofu,bzdjlikjparmmztokqvl,42
PR0000072,vanilla,jbcjrczxaomevidrrikt,43
PR0000073,fennel seeds,vnkwnhyltsgydmsupiyx,39
PR0000074,focaccia,tnriovcxfluahgodkttd,15
PR0000075,duck,yitbitmnhhvstqdrvfdz,27
PR0000076,cactus,pchgibvqmshkbcqxdmfg,19
PR0000077,scallops,arodrcxwkvilrswujhee,26
PR0000078,graham crackers,prfrrfkbgkrewumiuipi,36
PR0000079,nectarines,rcnudqrsminudlxyjrou,15
PR0000080,green beans,ziklafarksiklsnbjyvg,32
PR0000081,snow peas,spqzuokvhbzfohahjgkl,29
PR0000082,mesclun greens,mndtnzvjpxvnznnbiuom,24
PR0000083,shitakes,vlzslxhtptkmihfwqexf,11
PR0000084,mussels,mqkcbdvedwoljgemdmrl,29
PR0000085,pork,zwjxzdjpbiowlruyngsj,20
PR0000086,kale,phecfacqzdbvfqghwemr,14
PR0000087,white beans,eiicebtujcatyyqpbwvy,13
PR0000088,Havarti cheese,kfjhekftacolrygxaznf,15
PR0000089,breadfruit,igxsrnchzptkguxpxttw,43
PR0000090,Goji berry,orlalrxqqufhsjeaeswb,34
PR0000091,dill,tptyqlrdqmvchuwscclq,38
PR0000092,apples,bspkkwnomducdlwcnpem,33
PR0000093,ketchup,fojffcpgpvamczwvptbv,23
PR0000094,curry powder,osslyanxcztlgvdxejbi,43
PR0000095,chestnuts,ausoakgiqztxiyopiuuz,30
PR0000096,yogurt,wkgsbfgkjrddishklgzs,28
PR0000097,plums,ssbieowuywtcymowdfvz,44
PR0000098,alligator,nbichkdqjkgefygzyfrn,47
PR0000099,chaurice sausage,zycobrfaufeocwcyjgcv,29
PR0000100,pinto beans,rtydbxjwmdgscqhfvpbc,20
