id,nombre,idioma,fecha_adquisicion,fecha_estreno,genero_id,duracion_h,resena,nivelpublico_id,id_directores
MOV000059,Apt Pupil,GB,2021-11-25,2021-12-17,GP0000007,2.0,Kid science race both camera believe small challenge.,RE00000001,DIR000097
MOV000060,Ardh Satya (1983),GB,2021-11-26,2021-12-22,GP0000001,1.75,Soon relate seat themselves.,RE00000002,DIR000056
MOV000061,"Aristocrats, The",GB,2021-11-29,2021-12-16,GP0000020,1.0,Let fish manage.,RE00000002,DIR000097
MOV000062,Arth (1982),GB,2021-12-03,2021-12-27,GP0000006,1.0,Assume draw sign pattern attorney activity.,RE00000004,DIR000093
MOV000063,"Artist, The",GB,2021-12-05,2021-12-19,GP0000017,2.0,Same war head choose.,RE00000002,DIR000069
MOV000064,"As Above, So Below",GB,2021-12-01,2021-12-19,GP0000006,2.0,Any cover action water class through.,RE00000004,DIR000027
MOV000065,As the Gods Will,GB,2021-11-21,2021-12-12,GP0000004,1.75,Box body plant act include tree the worker.,RE00000002,DIR000024
MOV000066,Assassination Nation,GB,2021-11-25,2021-12-29,GP0000010,1.5,Lawyer ten common clear.,RE00000003,DIR000064
MOV000067,Assault on Precinct 13,GB,2021-11-22,2021-12-26,GP0000021,1.0,Personal type forward American office discussion.,RE00000001,DIR000044
MOV000068,"Assistant, The",GB,2021-11-23,2021-12-30,GP0000014,1.5,Nation financial technology surface challenge opportunity house.,RE00000003,DIR000093
MOV000069,"Atomic Cafe, The",GB,2021-12-05,2021-12-29,GP0000012,1.75,Mrs simply ever letter sister population real visit.,RE00000002,DIR000011
MOV000070,Atomic Zombies,GB,2021-12-05,2021-12-20,GP0000004,1.0,Body cost degree care.,RE00000001,DIR000071
MOV000071,Attack of the Killer Tomatoes,GB,2021-12-05,2021-12-11,GP0000018,1.5,Nature town this owner magazine American.,RE00000001,DIR000073
MOV000072,Attack the Block,GB,2021-11-22,2021-12-30,GP0000015,1.0,A measure be science by project.,RE00000004,DIR000083
MOV000073,"Attic Expeditions, The",GB,2021-11-24,2021-12-14,GP0000019,1.5,Cup school that response particularly candidate with half.,RE00000001,DIR000029
MOV000074,Audition,GB,2021-11-26,2021-12-13,GP0000010,1.0,Make feeling cost tree loss impact.,RE00000001,DIR000050
MOV000075,Auto Focus,GB,2021-11-21,2021-12-21,GP0000013,1.75,Sound young my American ask over.,RE00000004,DIR000076
MOV000076,"Autopsy of Jane Doe, The",GB,2021-12-02,2021-12-09,GP0000018,2.0,Miss sound cold apply radio produce.,RE00000001,DIR000010
MOV000077,Avatar,GB,2021-11-21,2021-12-26,GP0000015,1.0,Page drive mind decide inside generation.,RE00000002,DIR000067
MOV000078,Awaara (1951),GB,2021-11-24,2021-12-21,GP0000025,1.5,Nothing level accept mention.,RE00000003,DIR000044
MOV000079,"Babadook, The",GB,2021-11-26,2021-12-30,GP0000024,1.75,Top human air machine discussion cell quickly.,RE00000004,DIR000058
MOV000080,Baby Blood,GB,2021-12-03,2021-12-24,GP0000023,1.0,Water window after they church crime pass agree.,RE00000004,DIR000089
MOV000081,"Bad Batch, The",GB,2021-11-27,2021-12-17,GP0000015,1.75,Long still environment bag from kind theory kind.,RE00000003,DIR000017
MOV000082,Bad Biology,GB,2021-12-05,2021-12-16,GP0000012,1.75,Movement spring as interesting marriage.,RE00000002,DIR000046
MOV000083,Bad Boys,GB,2021-11-25,2021-12-27,GP0000007,1.75,Civil act Mr child approach dark final.,RE00000002,DIR000011
MOV000084,Bad Education,GB,2021-11-24,2021-12-09,GP0000011,1.75,Hand next look identify although financial task.,RE00000003,DIR000026
MOV000085,Bad Girls Go to Hell,GB,2021-12-05,2021-12-08,GP0000025,1.75,After drop play hot job at quality.,RE00000002,DIR000075
MOV000086,Bad Grandpa,GB,2021-12-03,2021-12-07,GP0000001,1.0,House market audience night everyone.,RE00000004,DIR000022
MOV000087,Bad Lieutenant,GB,2021-11-28,2021-12-26,GP0000007,1.0,Campaign budget week design worker eat age.,RE00000001,DIR000049
MOV000088,Bad Santa,GB,2021-12-04,2021-12-29,GP0000005,1.5,Nation smile place assume tax.,RE00000004,DIR000046
MOV000089,Baise-moi,GB,2021-11-23,2021-12-16,GP0000015,1.0,Impact very choice again discussion newspaper discuss.,RE00000003,DIR000050
MOV000090,Bambi,GB,2021-12-01,2021-12-19,GP0000009,1.0,Budget language road east three look then them.,RE00000002,DIR000085
MOV000091,Bandersnatch,GB,2021-11-28,2021-12-14,GP0000018,1.5,Mention end still record thought evening over.,RE00000004,DIR000036
MOV000092,Bandit Queen (1994),GB,2021-12-05,2021-12-21,GP0000024,1.75,Control single eye exactly professional camera guess late.,RE00000001,DIR000046
MOV000093,Barbarella,GB,2021-12-05,2021-12-08,GP0000001,1.0,Different by kitchen serious occur.,RE00000003,DIR000008
MOV000094,Barbershop,GB,2021-11-27,2021-12-12,GP0000021,1.75,Provide those Congress push and represent.,RE00000003,DIR000014
MOV000095,Barfi! (2012),GB,2021-11-21,2021-12-15,GP0000012,2.0,Medical reveal return detail build here enter.,RE00000004,DIR000047
MOV000096,Barking Dogs Never Bite,GB,2021-12-05,2021-12-27,GP0000024,1.75,West thought picture action like.,RE00000003,DIR000058
MOV000097,Barry Lyndon,GB,2021-11-24,2021-12-26,GP0000007,1.75,Grow plant air big matter every near open.,RE00000002,DIR000029
MOV000098,Bartleby,GB,2021-11-29,2021-12-07,GP0000011,1.0,Region couple network popular continue.,RE00000002,DIR000058
MOV000099,Barton Fink,GB,2021-11-28,2021-12-18,GP0000001,2.0,General hour common.,RE00000004,DIR000044
MOV000100,Basic Instinct,GB,2021-12-05,2021-12-06,GP0000019,1.5,Say call strategy when face.,RE00000001,DIR000055
