id,nombre,descripcion,precio_venta
PR0000055,kale,powrsvyzlwmmieerglot,38
PR0000056,shitakes,cfwmfylyujkfwynprjep,18
PR0000057,hot sauce,gudwzbauyqarzlzitxpb,31
PR0000058,strawberries,djibzvdiogctdyjhrbdr,29
PR0000059,date sugar,pikzbwqyjudeetpkzwnd,36
PR0000060,horseradish,yygvhawrlzqqhygoenig,46
PR0000061,prunes,hxjzojmawryoxxoeuaxn,37
PR0000062,gelatin,njyxjskymyehazdrynfu,15
PR0000063,maple syrup,zlyyilwdzlvbkdecvvre,19
PR0000064,monkfish,hjyfktliqumgfyqgckmq,17
PR0000065,broth,eihtfjybytwvjziupzqs,18
PR0000066,tonic water,wtbczhxymzutbirmpymq,14
PR0000067,cider,cexttccjsuxzsktnjkib,14
PR0000068,peas,pjkukwdportudcvrnliq,26
PR0000069,pork,lihwpkmhdrdwampxgkph,31
PR0000070,arugula,gzdrwfaimjliacnkwpti,15
PR0000071,white chocolate,gdalibkwdpjdjmkekhrt,22
PR0000072,red snapper,ktrkhkbpxanbgoaxjvkc,18
PR0000073,lemon Peel,aldxagobiqzgjlvwbxoy,27
PR0000074,quail,fqbdfdmoilxnbgntvslv,31
PR0000075,beets,rmrfxohewoimzxekiuzv,35
PR0000076,colby cheese,lvpsyjtrchtsxmbnsiqk,11
PR0000077,bagels,uokkuipqycygckmsphru,37
PR0000078,cranberries,lvdaeaoddrnizbunizui,26
PR0000079,allspice,pzscepgywxbeotzfqqam,42
PR0000080,gouda,xghlbagzxuzuvxbeskpv,19
PR0000081,water,ocppldfgmdwwmbhemrnh,34
PR0000082,cumin,ocshfdadnlzqixoperox,41
PR0000083,kumquats,zblcdpxdcuufyynvnokb,47
PR0000084,balsamic vinegar,bjoexbsgrnujkufzzfsy,49
PR0000085,rice,ccgwyvoujsuzpkzvimkz,43
PR0000086,vanilla,bslprafpybibsoaqhckq,22
PR0000087,flax seed,hrechsxadfbmjichwcoc,25
PR0000088,sea cucumbers,giajbnzxxzbobcpnjsli,25
PR0000089,bacon,ihnnjnoryusmthnvdnhh,42
PR0000090,sunflower seeds,yonramepmzadfugjqhwl,13
PR0000091,tomato sauce,tmisvzooecxynahqoeuu,11
PR0000092,spaghetti squash,sboiedeqwrhvodwwydtj,26
PR0000093,hoisin sauce,frpifttxudvrdvzgdxoo,31
PR0000094,trout,gnysckclgvqsdrpghbpk,23
PR0000095,salt,ngagrseyxjzyhfkerumb,17
PR0000096,garlic,oslxchdvxzfiguycuoly,19
PR0000097,lettuce,wnkmkvxakzntfetxlrmy,41
PR0000098,walnuts,jsgxmiygatnikjqyrapb,19
PR0000099,celery seeds,yszzqwgynhhsqurcfved,41
PR0000100,tartar sauce,bnkcfxtbfgwcqtvfzrdj,11
